week_end_date,CITY,BX,BK,MN,QN,SI,UHF101,UHF102,UHF103,UHF104,UHF105,UHF106,UHF107,UHF201,UHF202,UHF203,UHF204,UHF205,UHF206,UHF207,UHF208,UHF209,UHF210,UHF211,UHF301,UHF302,UHF303,UHF304,UHF305,UHF306,UHF307,UHF308,UHF309,UHF310,UHF401,UHF402,UHF403,UHF404,UHF405,UHF406,UHF407,UHF408,UHF409,UHF410,UHF501,UHF502,UHF503,UHF504
02/04/2025,41.31,49.08,37.03,30.15,42.46,73.93,54.81,49.59,40.36,52.52,35.97,53.3,59.47,23.95,32.49,37.04,42.8,36.16,35.45,38.11,37.22,43.35,45.6,26.37,33.36,27.33,32.61,37.14,27.98,23.76,23.7,20.65,35.93,23.38,36.3,32.12,42.91,66.75,32.82,38.5,38.76,43.63,56.08,47.3,68.67,68.74,69.17,79.36
02/05/2025,42.26,50.13,37.93,32.42,42.59,74.14,54.81,52.07,44.55,55.2,36.92,51.91,54.45,24.68,31.31,37.66,47.13,38.63,37.27,37.77,37.71,43.35,46.29,27.3,31.48,31.79,33.49,36.22,31.25,25.64,30.59,26.73,41.3,21.71,34.36,32.34,42.91,71.35,34.79,41.54,40.55,42.99,52.28,41.69,67.21,72.79,65.93,79.88
02/06/2025,41.9,49.78,36.68,32.11,43.3,73.3,59.19,48.1,47.6,53.19,35.97,52.83,53.02,23.95,28.18,35.17,47.13,40.27,37.27,37.77,35.75,43.84,43.87,25.45,28.11,32.35,34.37,33.01,35.91,27.51,30.59,24.3,41.3,21.71,38.23,32.34,43.71,70.2,35.59,38.5,47.01,45.23,45.63,43.29,61.37,76.02,61.61,80.4
02/07/2025,41.83,49.78,35.98,31.87,43.35,76.45,60.29,47.61,48.36,54.2,34.08,53.76,53.02,23.22,28.96,36.73,43.88,36.16,31.51,38.11,36.24,44.81,43.52,25.45,26.99,27.89,44.07,32.1,34.51,28.14,29.06,29.16,41.3,20.04,39.2,32.57,43.71,70.2,33.61,39.51,50.96,45.23,42.3,40.89,56.98,77.64,68.09,85.63
02/08/2025,42.5,50.13,36.76,33.28,44.01,74.98,57,49.09,47.22,57.21,34.55,53.3,51.59,25.4,28.96,39.53,43.88,36.98,32.12,39.81,34.77,43.84,45.6,25.45,30.73,29,46.71,34.85,33.58,28.14,28.29,30.37,42.37,21.71,41.14,34.13,40.1,75.95,37.56,35.46,50.96,45.55,43.72,38.48,54.06,74.4,71.33,83.54
02/09/2025,42.22,48.72,36.17,34.14,44.19,73.72,57,52.07,44.17,54.2,32.19,52.83,49.44,25.4,27.79,37.97,42.8,33.7,32.42,37.43,35.75,45.3,44.91,25.91,34.48,30.12,45.83,34.39,34.98,28.14,27.53,27.94,44.52,21.71,42.59,34.57,40.9,75.95,35.19,37.49,50.6,47.8,41.82,37.68,51.14,76.02,69.17,81.45
02/10/2025,41.91,50.84,35.63,34.69,42.5,70.99,63.58,55.54,43.41,55.87,35.03,53.76,55.17,29.76,29.75,37.04,37.38,32.87,28.78,35.39,40.16,44.81,41.45,28.68,33.73,35.14,47.59,34.85,33.58,28.77,28.29,26.73,45.05,21.71,39.2,31.23,42.11,77.1,32.82,39.51,50.6,45.87,40.4,36.88,43.83,68.74,75.66,78.84
02/11/2025,42.01,50.13,35.31,34.69,42.95,74.35,65.77,56.53,46.84,54.2,34.55,48.66,51.59,31.93,29.75,40.46,36.84,32.05,26.97,30.97,36.73,46.27,43.52,26.83,31.11,37.37,50.24,33.47,33.11,28.14,31.35,29.16,42.37,30.06,42.1,33.01,41.71,84.01,31.63,38.5,46.66,47.48,43.25,34.47,52.6,75.21,75.66,79.88
02/12/2025,41.48,50.98,34.85,33.22,42.55,72.04,65.77,56.53,47.22,52.86,34.08,52.83,55.89,31.21,30.53,38.91,31.42,32.87,25.75,29.95,38.2,50.65,43.52,25.45,30.73,36.81,49.35,33.47,30.78,25.64,22.94,26.73,41.3,31.73,43.07,32.79,42.11,82.86,30.45,35.46,46.66,46.51,44.67,36.08,54.06,75.21,74.58,74.14
02/13/2025,41.68,52.11,35.16,33.46,42.15,71.62,64.68,64.47,47.22,53.53,36.45,51.91,53.02,28.3,33.66,38.6,31.42,31.23,25.75,28.92,38.69,52.12,45.6,24.06,31.48,34.58,49.35,33.93,33.11,25.01,23.7,31.59,38.08,35.07,42.1,32.12,41.71,80.56,34,43.57,43.07,41.38,47.53,37.68,52.6,72.79,78.9,73.09
