date_of_death,CONFIRMED_COUNT,PROBABLE_COUNT
3/11/2020,1,
3/12/2020,1,
3/14/2020,2,
3/15/2020,6,
3/16/2020,9,1
3/17/2020,8,3
3/18/2020,20,4
3/19/2020,24,2
3/20/2020,46,3
3/21/2020,44,6
3/22/2020,49,3
3/23/2020,82,13
3/24/2020,96,12
3/25/2020,121,18
3/26/2020,189,40
3/27/2020,214,43
3/28/2020,263,55
3/29/2020,289,67
3/30/2020,322,87
3/31/2020,372,89
4/1/2020,428,105
4/2/2020,487,171
4/3/2020,480,175
4/4/2020,487,195
4/5/2020,560,181
4/6/2020,563,228
4/7/2020,587,224
4/8/2020,544,205
4/9/2020,530,198
4/10/2020,514,188
4/11/2020,521,175
4/12/2020,550,180
4/13/2020,549,189
4/14/2020,496,149
4/15/2020,435,105
4/16/2020,398,142
4/17/2020,359,95
4/18/2020,361,117
4/19/2020,370,94
4/20/2020,340,103
4/21/2020,302,97
4/22/2020,294,83
4/23/2020,304,84
4/24/2020,296,61
4/25/2020,237,55
4/26/2020,225,58
4/27/2020,248,55
4/28/2020,209,36
4/29/2020,215,47
4/30/2020,198,49
5/1/2020,191,47
5/2/2020,177,39
5/3/2020,160,37
5/4/2020,138,44
5/5/2020,126,29
5/6/2020,125,40
5/7/2020,111,39
5/8/2020,107,36
5/9/2020,86,19
5/10/2020,74,25
5/11/2020,86,23
5/12/2020,70,22
5/13/2020,45,25
5/14/2020,27,46
5/15/2020,16,60
43967,2,10
