Date,Admit_0_17,Admit_18_44,Admit_45_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_17,Visit_18_44,Visit_45_64,Visit_65_74,Visit_75_,Visit_All_ages
2020-10-11,0.115813023,0.2077345203,0.9241029392,2.8607473989,3.4736505325,0.7977379486,3.3006711564,2.3741088037,2.5291238337,5.149345318,6.5816536405,3.1076060384
2020-10-12,0.115813023,0.4451454007,0.7781919488,1.8594858093,5.1190639426,0.8810837044,2.8953255758,2.1960506434,2.7723088177,3.4328968786,6.7644773527,2.8813818441
2020-10-13,0,0.2374108804,1.1186509264,3.1468221388,5.8503587915,1.0120556064,2.6057930182,2.1070215633,2.7236718209,5.2923826879,8.4098907628,3.0361668191
2020-10-14,0.2316260461,0.2374108804,1.3131989136,2.2885979191,4.9362402304,0.9763359967,3.8797362716,2.611519684,3.2586787857,3.8620089885,6.7644773527,3.4052694521
2020-10-15,0.0579065115,0.3264399605,1.7995688817,2.8607473989,6.0331825038,1.2144667277,2.5478865067,2.3444324436,3.8909597441,4.0050463584,8.4098907628,3.2981106232
2020-10-16,0.1737195345,0.3264399605,1.1186509264,2.0025231792,3.8392979569,0.8572706313,3.8797362716,1.6915525226,2.4318498401,3.7189716185,6.3988299282,2.7980360882
2020-10-17,0.1737195345,0.4154690406,0.8268289456,2.2885979191,4.7534165181,0.9048967775,3.6481102255,1.8102579628,2.6263978273,3.2898595087,6.0331825038,2.7861295517
2020-10-18,0.115813023,0.2967636005,0.6322809584,2.2885979191,3.8392979569,0.7382052658,4.1113623177,2.4037851637,2.3345758465,4.2911210983,4.9362402304,3.0599798922
2020-10-19,0.115813023,0.3264399605,1.0700139296,2.0025231792,5.4847113671,0.9406163871,4.0534558061,2.2257270034,3.7936857505,3.7189716185,7.1301247772,3.4290825252
2020-10-20,0.115813023,0.4748217607,1.1672879232,3.5759342486,6.216006216,1.2025601911,2.7795125528,2.581843324,2.9668568049,5.4354200578,8.9583618995,3.3695498424
2020-10-21,0.115813023,0.2670872404,1.7022948881,2.574672659,4.7534165181,1.0715882891,3.8218297601,2.9082832845,3.6477747601,4.4341584682,6.7644773527,3.6553067195
2020-10-22,0,0.2967636005,1.21592492,2.2885979191,4.0221216692,0.8691771678,3.2427646449,2.6708724041,3.7450487537,3.8620089885,6.0331825038,3.3695498424
2020-10-23,0.1737195345,0.5044981208,1.3618359104,2.7177100289,4.9362402304,1.1192144353,2.6057930182,2.5224906039,3.0641307985,4.5771958382,7.4957722017,3.1671387212
2020-10-24,0.0579065115,0.3264399605,0.972739936,2.0025231792,4.7534165181,0.8572706313,3.0690451104,1.6915525226,2.3345758465,2.7177100289,6.0331825038,2.5003726746
2020-10-25,0.115813023,0.3857926806,0.8754659424,1.4303736994,2.9251793958,0.7024856562,3.1848581334,2.0179924831,2.6750348241,3.0037847688,4.5705928059,2.6670641862
2020-10-26,0.115813023,0.4451454007,1.5077469009,3.1468221388,5.6675350793,1.2025601911,4.2271753407,2.3741088037,3.3073157825,4.8632705781,6.9473010649,3.4886152079
2020-10-27,0.1737195345,0.5638508409,1.2645619168,2.1455605491,4.3877690937,1.0358686795,3.1848581334,2.7005487642,3.0154938017,3.7189716185,6.5816536405,3.2147648673
2020-10-28,0.0579065115,0.3264399605,1.21592492,1.2873363295,4.3877690937,0.8334575582,3.5322972025,2.6411960441,3.0154938017,3.5759342486,6.216006216,3.2266714039
2020-10-29,0.115813023,0.3264399605,0.972739936,2.574672659,3.108003108,0.8096444851,3.0111385988,2.1070215633,3.0154938017,3.4328968786,4.2049453814,2.7623164786
2020-10-30,0.115813023,0.2967636005,1.3131989136,1.8594858093,6.216006216,1.0239621429,2.7216060413,1.958639763,2.8209458145,3.2898595087,7.1301247772,2.7742230151
2020-10-31,0.0579065115,0.2077345203,1.21592492,3.0037847688,6.0331825038,1.0358686795,2.4320734837,1.5431707224,2.5777608305,5.149345318,7.3129484894,2.6551576497
2020-11-01,0.1737195345,0.3264399605,1.3618359104,3.0037847688,4.7534165181,1.0596817526,3.1269516219,2.4631378838,2.5777608305,4.2911210983,6.216006216,3.0242602826
2020-11-02,0.3474390691,0.623203561,1.21592492,3.7189716185,6.3988299282,1.3454386297,3.590203714,2.4037851637,2.8695828113,6.0075695376,8.5927144751,3.4648021348
2020-11-03,0.2895325576,0.3264399605,1.8482058785,3.0037847688,5.1190639426,1.2263732642,2.9532320873,2.1960506434,3.3073157825,4.7202332081,7.3129484894,3.1671387212
2020-11-04,0.2316260461,0.2670872404,0.972739936,2.7177100289,4.5705928059,0.916803314,3.6481102255,2.6708724041,2.8695828113,4.4341584682,6.216006216,3.2981106232
2020-11-05,0,0.5341744808,1.5563838977,3.2898595087,7.4957722017,1.3573451662,3.5322972025,2.9082832845,3.3559527793,5.5784574278,9.5068330362,3.7981851581
2020-11-06,0.2316260461,0.3561163206,1.1186509264,3.1468221388,4.5705928059,1.0239621429,3.8218297601,2.0773452032,3.1614047921,4.8632705781,5.4847113671,3.1552321846
2020-11-07,0.0579065115,0.3264399605,0.9241029392,2.0025231792,2.7423556835,0.7143921927,2.0846344146,1.7509052427,2.2859388497,3.4328968786,4.0221216692,2.2384288706
