diagnosis_date,cruderate_bx,ageadjrate_bx,cruderate_bk,ageadjrate_bk,cruderate_mn,ageadjrate_mn,cruderate_qn,ageadjrate_qn,cruderate_si,ageadjrate_si
2/29/20,,,,,0.061398624,0.052970662,,,,
3/2/20,,,,,,,0.043880704,0.045963552,,
3/3/20,,,0.038717221,0.037521705,,,0.043880704,0.045963552,,
3/4/20,0.069825966,0.064733272,0.077434442,0.064618937,0.184195871,0.160046286,0.087761408,0.077109527,0.210005061,0.190567766
3/5/20,,,0.038717221,0.037521705,,,,,,
3/6/20,0.139651932,0.137774175,0.038717221,0.032309469,0.184195871,0.227701775,0.043880704,0.043699238,0.210005061,0.205639946
3/7/20,0.069825966,0.070868899,0.116151663,0.119513874,0.184195871,0.211114964,0.131642112,0.116375719,0.210005061,0.239661378
3/8/20,0.279303863,0.27733997,0.193586105,0.192530656,0.368391743,0.309978735,0.175522817,0.152050321,0.210005061,0.205639946
3/9/20,0.279303863,0.281657036,0.580758315,0.552535362,1.350769724,1.463366115,0.394926337,0.353388718,0.630015183,0.694516454
3/10/20,0.558607726,0.54662141,0.425889431,0.422585691,1.412168348,1.280642037,1.0531369,0.94869274,0.420010122,0.265087733
3/11/20,1.326693349,1.343374196,1.200233852,1.158327957,3.745316052,3.343335728,1.799108871,1.665503418,0.630015183,0.483687834
3/12/20,2.024953007,2.045138115,3.639418777,3.50194881,8.288814215,7.349688317,3.378814221,3.262323717,2.730065795,2.750363237
3/13/20,5.516251295,5.266989964,6.117320923,5.839264732,10.86755641,9.579276864,7.152554778,6.739403278,5.250126528,4.958862055
3/14/20,5.655903227,5.567163199,5.575279829,5.39876506,10.25357018,8.967722343,8.205691678,7.503704782,4.620111345,4.263322253
3/15/20,7.960160097,7.895816199,15.21586787,14.58223461,11.97273164,10.60903048,9.873158437,9.273884247,9.660232812,9.203888629
3/16/20,19.76074831,19.34305308,24.15954592,23.21575538,25.60322613,22.77776465,21.98423279,20.43510243,18.27044032,17.45362737
3/17/20,21.08744166,20.74456288,26.48257919,25.40985219,31.00630502,27.59435349,25.3191663,23.95157825,19.53047068,17.98451934
3/18/20,27.16230068,26.6464675,27.45050971,26.3270038,26.89259723,23.92211978,30.23380517,28.5971295,28.98069843,27.52315156
3/19/20,32.74837794,31.92523118,24.50800091,23.67050376,19.3405665,17.12747181,33.7003808,31.75263487,43.68105271,42.00480845
3/20/20,39.80080048,39.0077424,24.1208287,22.91321597,19.46336375,16.69085544,37.69352488,35.09488465,45.99110839,44.73288142
3/21/20,17.7357953,17.14805916,7.937030312,7.538946666,12.40252201,10.82585659,28.69798052,26.35921991,14.70035428,13.63089917
3/22/20,17.45649144,16.95023663,11.80875241,11.08615404,8.595807334,7.534379774,20.36064673,18.32299014,22.47054154,19.93222624
3/23/20,23.95030626,22.81902057,11.38286298,10.9053924,16.27063531,13.85976335,31.19918066,28.55217351,19.74047575,18.2665449
3/24/20,23.32187256,22.3713241,11.26671132,10.7470407,13.50769724,11.52590588,19.79019758,18.178085,6.510156895,5.360624033
