date,Admit_0_4,Admit_5_12,Admit_13_17,Admit_18_24,Admit_25_34,Admit_35_44,Admit_45_54,Admit_55_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_4,Visit_5_12,Visit_13_17,Visit_18_24,Visit_25_34,Visit_35_44,Visit_45_54,Visit_55_64,Visit_65_74,Visit_75_,Visit_All_ages
2025-04-22,2.0551528286,0.3983047117,0,0.4146106039,0.3334889615,0.5231881341,0.4734610858,0.9000045,3.8620089885,6.7644773527,1.2620928738,26.530154697,11.152531928,3.1927802304,5.6663449196,4.2686587074,6.0166635421,4.2611497718,3.8000190001,8.5822421966,12.614836144,7.4534918776
2025-04-23,1.3078245273,0.2655364745,0,0.4146106039,0.1333955846,0.1743960447,0.7575377372,1.400007,1.7164484393,6.3988299282,1.0120556064,24.101337718,9.8248495555,6.15750473,4.1461060388,4.3353564997,4.3599011174,4.9239952919,5.0000250001,6.5797190174,10.786599022,6.9296042696
2025-04-24,1.4946566026,0.2655364745,0.4561114615,0.4146106039,0.2000933769,0.6103861564,0.4734610858,1.600008,2.0025231792,8.5927144751,1.2739994104,30.640460354,9.9576177928,7.9819505759,4.6989201773,4.2686587074,3.9239110057,3.0301509489,6.1000305002,5.8645321677,12.432012432,7.3701461218
2025-04-25,1.681488678,0.5310729489,0,0.1382035346,0.2000933769,0.5231881341,0.3787688686,0.7000035,2.2885979191,5.4847113671,0.9525229237,30.82729243,9.9576177928,5.0172260763,6.0809555235,4.6021476689,3.4007228716,3.0301509489,4.2000210001,7.7240179769,9.5068330362,7.0724827081
2025-04-26,0.9341603767,0.3983047117,0.2280557307,0.4146106039,0.4668845461,0.3487920894,0.2840766515,1.1000055,3.2898595087,5.3018876548,1.0596817526,28.211643375,8.7627036576,4.3330588841,4.2843095734,4.2686587074,4.3599011174,2.5566898631,4.4000220001,7.0088311272,9.8724804607,6.6081277829
2025-04-27,1.3078245273,0.2655364745,0.4561114615,0.1382035346,0.2000933769,0.6103861564,0.8522299544,0.9000045,2.0025231792,4.5705928059,0.9406163871,29.145803752,7.4350212853,4.5611146148,4.1461060388,3.1347962382,3.5751189163,3.6929964689,4.2000210001,4.4341584682,9.8724804607,6.1437728576
2025-04-28,0.7473283013,0.5310729489,0,0.4146106039,0.1333955846,0.3487920894,0.3787688686,1.400007,2.8607473989,7.1301247772,1.1192144353,29.893132053,11.683604877,6.3855604607,4.2843095734,4.402054292,4.7086932068,4.1664575547,4.5000225001,7.0088311272,12.980483569,7.5725572431
2025-04-29,1.120992452,0.7966094234,0.2280557307,0.2764070693,0.2000933769,0.4359901117,0.9469221715,1.400007,3.0037847688,5.4847113671,1.1668405815,26.156490546,13.144055486,6.6136161915,6.2191590581,3.4015874075,5.2318813409,3.6929964689,4.5000225001,7.0088311272,10.969422734,7.3463330487
2025-04-30,1.120992452,0.1327682372,0,0.2764070693,0.1333955846,0.4359901117,0.3787688686,1.1000055,3.0037847688,7.3129484894,1.0954013622,31.20095658,9.559313081,6.6136161915,4.2843095734,3.4682851998,4.2727030951,2.9354587317,4.9000245001,7.4379432371,13.346130993,7.2034546101
2025-05-01,1.120992452,0.7966094234,0,0.1382035346,0.2000933769,0.4359901117,0.6628455201,1.200006,2.431635289,6.216006216,1.0834948257,25.22233017,11.152531928,5.0172260763,4.8371237119,4.2686587074,3.6623169387,3.7876886861,5.5000275001,6.0075695376,9.1411856118,6.7748192945
2025-05-02,2.241984904,1.0621458979,0,0.2764070693,0.0666977923,0.4359901117,0.4734610858,1.600008,2.1455605491,5.8503587915,1.1430275084,27.837979224,13.542360198,6.15750473,3.8696989695,2.7346094844,3.8367129833,3.3142276003,4.6000230001,5.5784574278,11.883541295,6.8581650503
2025-05-03,1.681488678,0.9293776607,0.6841671922,0.2764070693,0.0666977923,0.4359901117,0.2840766515,1.3000065,2.574672659,6.0331825038,1.1192144353,27.837979224,9.559313081,4.1050031533,4.1461060388,2.4011205229,2.5287426481,3.0301509489,4.1000205001,6.0075695376,12.614836144,6.1675859307
2025-05-04,0.3736641507,0.3983047117,0,0.4146106039,0,0.261594067,0.4734610858,0.7000035,3.7189716185,6.0331825038,0.9763359967,24.288169793,9.559313081,4.3330588841,4.6989201773,2.9347028613,3.5751189163,2.7460742974,2.8000140001,6.0075695376,8.9583618995,5.8103898343
2025-05-05,2.0551528286,0.6638411862,0.6841671922,0,0.5335823384,0.6975841788,0.7575377372,1.200006,2.7177100289,6.3988299282,1.2978124835,22.233016964,13.807896673,6.8416719222,5.3899378504,3.4682851998,3.9239110057,4.0717653375,3.7000185001,6.2936442775,11.335070159,6.8462585138
