MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
10001,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9730,2556,12286,35236.91,44493.39,27613.09,72,260.75
10002,Chinatown/Lower East Side,Manhattan,10002,40.715781,-73.986176,25501,5665,31166,33855.66,41376.63,75322.71,491,651.86
10003,East Village/Gramercy/Greenwich Village,Manhattan,10003,40.731825,-73.989164,17439,3850,21289,32307.72,39440.28,53977.81,113,209.35
10004,Financial District,Manhattan,10004,40.703675,-74.013106,1112,348,1460,37414.42,49123.25,2972.12,3,100.94
10005,Financial District,Manhattan,10005,40.706092,-74.008861,2514,1102,3616,28707.72,41291.62,8757.23,1,11.42
10006,Financial District,Manhattan,10006,40.709651,-74.013044,1204,456,1660,35602.35,49086.29,3381.8,2,59.14
10007,TriBeCa,Manhattan,10007,40.713923,-74.007546,2092,747,2839,29922.26,40606.74,6991.45,8,114.43
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,10009,40.72638,-73.978704,19832,4839,24671,34700.98,43168.01,57151.12,216,377.95
10010,Flatiron/Gramercy/Kips Bay,Manhattan,10010,40.739119,-73.982544,10331,3745,14076,30974.73,42203.1,33353,78,233.86
10011,Chelsea,Manhattan,10011,40.741707,-74.000062,16668,3718,20386,33506.22,40980.19,49745.99,125,251.28
10012,Greenwich Village/SoHo,Manhattan,10012,40.725576,-73.998078,6527,2040,8567,28191.87,37003.18,23152.07,40,172.77
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,10013,40.720096,-74.004763,9568,2107,11675,33200.48,40511.66,28818.86,78,270.66
10014,Hudson Square/Meatpacking District/West Village,Manhattan,10014,40.73402,-74.006314,8170,2514,10684,26931.65,35218.82,30336.05,56,184.6
10016,Kips Bay/Murray Hill/NoMad,Manhattan,10016,40.745174,-73.978319,18519,4732,23251,36374.45,45668.9,50912.11,123,241.59
