DATE_OF_DEATH,CONFIRMED_COUNT,PROBABLE_COUNT,INCOMPLETE
03/11/2020,1,0,
03/12/2020,0,0,
03/13/2020,0,0,
03/14/2020,2,1,
03/15/2020,5,0,
03/16/2020,8,1,
03/17/2020,8,3,
03/18/2020,21,4,
03/19/2020,24,2,
03/20/2020,47,3,
03/21/2020,44,6,
03/22/2020,50,3,
03/23/2020,82,13,
03/24/2020,95,12,
03/25/2020,123,19,
03/26/2020,190,41,
03/27/2020,218,40,
03/28/2020,274,51,
03/29/2020,292,63,
03/30/2020,325,85,
03/31/2020,384,85,
04/01/2020,447,101,
04/02/2020,497,165,
04/03/2020,498,168,
04/04/2020,511,186,
04/05/2020,580,174,
04/06/2020,575,224,
04/07/2020,598,215,
04/08/2020,569,199,
04/09/2020,560,191,
04/10/2020,539,179,
04/11/2020,543,170,
04/12/2020,572,175,
04/13/2020,570,185,
04/14/2020,510,141,
04/15/2020,454,106,
04/16/2020,414,137,
04/17/2020,384,93,
04/18/2020,390,114,
04/19/2020,399,89,
04/20/2020,364,94,
04/21/2020,323,93,
04/22/2020,312,81,
04/23/2020,332,79,
04/24/2020,316,57,
04/25/2020,265,53,
04/26/2020,246,53,
04/27/2020,271,46,
04/28/2020,228,30,
04/29/2020,240,35,
04/30/2020,223,30,
05/01/2020,209,38,
05/02/2020,192,31,
05/03/2020,178,29,
05/04/2020,159,35,
05/05/2020,151,16,
05/06/2020,150,28,
05/07/2020,141,17,
05/08/2020,131,22,
05/09/2020,100,9,
05/10/2020,103,12,
05/11/2020,103,14,
05/12/2020,91,12,
05/13/2020,83,8,
05/14/2020,70,17,
05/15/2020,86,12,
05/16/2020,83,18,
05/17/2020,77,10,
05/18/2020,57,9,
05/19/2020,54,9,
05/20/2020,81,6,
05/21/2020,45,7,
05/22/2020,65,12,
05/23/2020,60,3,
05/24/2020,49,4,
05/25/2020,49,5,
05/26/2020,37,5,
05/27/2020,49,3,
05/28/2020,38,4,
05/29/2020,43,8,
05/30/2020,54,4,
05/31/2020,39,4,
06/01/2020,34,5,
06/02/2020,38,6,
06/03/2020,43,3,
06/04/2020,33,5,
06/05/2020,28,3,
06/06/2020,35,3,
06/07/2020,25,4,
06/08/2020,41,6,
06/09/2020,33,3,
06/10/2020,31,7,
06/11/2020,21,5,
06/12/2020,23,3,
06/13/2020,14,2,
06/14/2020,24,0,
06/15/2020,20,0,
06/16/2020,19,3,
06/17/2020,20,1,
06/18/2020,17,1,
06/19/2020,17,0,
06/20/2020,19,1,
06/21/2020,28,0,
06/22/2020,25,0,
06/23/2020,27,1,
06/24/2020,25,1,
06/25/2020,19,1,
06/26/2020,20,1,
06/27/2020,21,4,
06/28/2020,19,1,
06/29/2020,25,3,
06/30/2020,24,0,
07/01/2020,12,1,
07/02/2020,25,2,
07/03/2020,23,1,
07/04/2020,14,1,
07/05/2020,17,0,
07/06/2020,17,4,
07/07/2020,13,1,
07/08/2020,20,3,
07/09/2020,10,0,
07/10/2020,10,0,
07/11/2020,13,1,
07/12/2020,11,1,
07/13/2020,16,2,
07/14/2020,10,0,
07/15/2020,14,2,
07/16/2020,10,0,
07/17/2020,13,1,
07/18/2020,11,2,
07/19/2020,7,2,
07/20/2020,11,2,
07/21/2020,11,0,
07/22/2020,8,2,
07/23/2020,9,0,
07/24/2020,6,0,
07/25/2020,11,1,
07/26/2020,8,1,
07/27/2020,5,0,
07/28/2020,12,1,
07/29/2020,5,0,
07/30/2020,4,1,
07/31/2020,5,1,
08/01/2020,8,1,
08/02/2020,2,0,
08/03/2020,3,1,
08/04/2020,6,2,
08/05/2020,8,1,
08/06/2020,5,2,
08/07/2020,5,0,
08/08/2020,6,1,
08/09/2020,3,0,
08/10/2020,6,0,
08/11/2020,6,1,
08/12/2020,2,1,
08/13/2020,3,3,
08/14/2020,4,1,
08/15/2020,7,1,
08/16/2020,5,0,
08/17/2020,6,0,
08/18/2020,2,0,
08/19/2020,3,0,
08/20/2020,7,0,
08/21/2020,3,1,
08/22/2020,6,0,
08/23/2020,4,0,
08/24/2020,7,1,
08/25/2020,5,0,
08/26/2020,6,1,
08/27/2020,1,0,
08/28/2020,6,1,
08/29/2020,3,3,
08/30/2020,9,3,
08/31/2020,2,0,
09/01/2020,5,0,
09/02/2020,5,1,1000
09/03/2020,4,2,1000
09/04/2020,3,1,1000
09/05/2020,2,0,1000
09/06/2020,2,2,1000
09/07/2020,1,0,1000
09/08/2020,0,0,1000
