group,subgroup,BK_DEATH_COUNT,BK_DEATH_RATE,BX_DEATH_COUNT,BX_DEATH_RATE,MN_DEATH_COUNT,MN_DEATH_RATE,QN_DEATH_COUNT,QN_DEATH_RATE,SI_DEATH_COUNT,SI_DEATH_RATE
Boroughwide,Boroughwide,14560,568.77,8725,615.21,6391,392.4,13855,614.72,2826,593.52
Age,0-17,22,3.83,11,3.17,9,3.89,14,3.13,4,3.88
Age,18-24,31,14.92,13,9.33,8,5.49,19,11.04,8,20.17
Age,25-34,132,28.08,104,45.74,53,14.65,119,33.09,15,23.18
Age,35-44,303,84.64,259,144.37,103,43.99,327,106.79,54,91.26
Age,45-54,829,280.67,622,357.95,265,135.49,778,260.03,148,230.63
Age,55-64,1956,684.55,1464,900.73,684,371.62,2082,692.92,312,471.8
Age,65-74,3369,1602.43,2117,2021.91,1232,825.12,3173,1526.37,630,1350.22
Age,75+,7918,5022.8,4134,4917.74,4037,3183.5,7343,4576.39,1655,5070.16
Race/ethnicity,Asian/Pacific-Islander,1020,341.81,222,384.62,560,241.92,2340,347.23,160,310.47
Race/ethnicity,Black/African-American,5218,569,2773,623.09,1383,530.79,2531,500.7,262,663.54
Race/ethnicity,Hispanic/Latino,2499,580.56,3954,562.3,2163,436.18,3459,602.31,382,661.12
Race/ethnicity,White,4962,446.88,1272,472.5,1917,176.94,4217,407.71,1919,443.23
Sex,Female,6581,488.31,3868,516.66,2897,337.95,5856,504.84,1294,528.57
Sex,Male,7979,658.23,4857,725.41,3493,452.77,7998,731.15,1532,662.26
