group,subgroup,BK_HOSPITALIZED_COUNT,BK_HOSPITALIZED_RATE,BX_HOSPITALIZED_COUNT,BX_HOSPITALIZED_RATE,MN_HOSPITALIZED_COUNT,MN_HOSPITALIZED_RATE,QN_HOSPITALIZED_COUNT,QN_HOSPITALIZED_RATE,SI_HOSPITALIZED_COUNT,SI_HOSPITALIZED_RATE
Boroughwide,Boroughwide,24737,966.33,18752,1322.23,12276,753.73,25747,1142.35,4672,981.22
Age,0-4,178,97.31,138,137.73,60,78.8,115,83.88,26,95.05
Age,5-12,114,45.24,69,44.6,35,35.28,66,33.69,11,24.04
Age,13-17,121,86.33,103,111.82,41,73.33,90,78.4,26,87.06
Age,18-24,625,300.73,519,372.46,185,127.02,456,264.84,89,224.34
Age,25-34,1637,348.27,1310,576.12,697,192.61,1629,452.91,238,367.74
Age,35-44,1932,539.69,1621,903.6,827,353.18,2217,724.05,339,572.89
Age,45-54,2686,909.38,2466,1419.16,1291,660.08,3440,1149.73,577,899.15
Age,55-64,4554,1593.78,3853,2370.57,2221,1206.68,5424,1805.18,921,1392.71
Age,65-74,5576,2652.17,4056,3873.81,2628,1760.08,5458,2625.57,1044,2237.51
Age,75+,7314,4639.66,4615,5489.93,4288,3381.44,6851,4269.76,1401,4292.02
Race/ethnicity,Asian/Pacific-Islander,1581,478.63,543,872.69,830,365.48,4139,585.09,246,423.61
Race/ethnicity,Black/African-American,8281,924.97,5838,1300.07,2762,1100.74,4592,933.73,547,1254.76
Race/ethnicity,Hispanic/Latino,4344,950.42,8629,1160.97,4283,896.55,8188,1316.97,923,1279.81
Race/ethnicity,White,7699,729.84,1741,859.52,2784,276.62,5148,582.43,2689,674.16
Sex,Female,11615,861.83,8869,1184.65,5515,643.35,11173,963.22,2127,868.83
Sex,Male,13118,1082.17,9880,1475.62,6757,875.85,14569,1331.85,2545,1100.16
