modzcta,modzcta_name,label,lat,lon,hospitalization_count_28day,hospitalization_rate_28day,death_count_28day,death_rate_28day,daterange
10001,Chelsea/NoMad/West Chelsea,"10001, 10118",40.750693,-73.997137,5,18.1,0,0.0,August 1-August 28
10002,Chinatown/Lower East Side,10002,40.715781,-73.986176,23,30.5,,,August 1-August 28
10003,East Village/Gramercy/Greenwich Village,10003,40.731825,-73.989164,7,13.0,,,August 1-August 28
10004,Financial District,10004,40.703675,-74.013106,1,,0,0.0,August 1-August 28
10005,Financial District,10005,40.706092,-74.008861,2,,0,0.0,August 1-August 28
10006,Financial District,10006,40.709651,-74.013044,0,0.0,0,0.0,August 1-August 28
10007,TriBeCa,10007,40.713923,-74.007546,1,,,,August 1-August 28
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,10009,40.72638,-73.978704,11,19.2,,,August 1-August 28
10010,Flatiron/Gramercy/Kips Bay,10010,40.739119,-73.982544,6,18.0,,,August 1-August 28
10011,Chelsea,10011,40.741707,-74.000062,7,14.1,0,0.0,August 1-August 28
10012,Greenwich Village/SoHo,10012,40.725576,-73.998078,1,,0,0.0,August 1-August 28
10013,Hudson Square/Little Italy/SoHo/TriBeCa,10013,40.720096,-74.004763,3,,0,0.0,August 1-August 28
10014,Hudson Square/Meatpacking District/West Village,10014,40.73402,-74.006314,1,,0,0.0,August 1-August 28
10016,Kips Bay/Murray Hill/NoMad,10016,40.745174,-73.978319,11,21.6,0,0.0,August 1-August 28
10017,East Midtown/Murray Hill,10017,40.752543,-73.973037,3,,,,August 1-August 28
10018,Hell's Kitchen/Midtown Manhattan,10018,40.755191,-73.992667,4,,,,August 1-August 28
10019,Hell's Kitchen/Midtown Manhattan,"10019, 10020",40.76528,-73.985974,5,11.5,,,August 1-August 28
10021,Lenox Hill/Upper East Side,10021,40.769474,-73.958771,5,10.9,,,August 1-August 28
10022,East Midtown,10022,40.758676,-73.968098,7,22.7,,,August 1-August 28
10023,Lincoln Square,10023,40.775901,-73.982658,8,12.9,0,0.0,August 1-August 28
10024,Upper West Side,10024,40.792085,-73.974871,3,,,,August 1-August 28
10025,Manhattan Valley/Morningside Heights/Upper West Side,10025,40.798651,-73.966585,11,12.0,,,August 1-August 28
10026,Central Harlem (South),10026,40.802341,-73.952521,12,31.0,,,August 1-August 28
10027,Central Harlem (South)/Morningside Heights/West Harlem,10027,40.8118,-73.953204,14,22.1,,,August 1-August 28
10028,Upper East Side/Yorkville,10028,40.776432,-73.953509,3,,0,0.0,August 1-August 28
10029,East Harlem,10029,40.791777,-73.943969,27,34.5,,,August 1-August 28
10030,Central Harlem (North),10030,40.818326,-73.942842,13,44.4,,,August 1-August 28
10031,Hamilton Heights/West Harlem,10031,40.825278,-73.950037,15,25.4,,,August 1-August 28
10032,Washington Heights (South),10032,40.838768,-73.942824,25,39.7,0,0.0,August 1-August 28
10033,Washington Heights (North)/Washington Heights (South),10033,40.850497,-73.934007,18,30.8,,,August 1-August 28
10034,Inwood/Washington Heights (North),10034,40.867168,-73.924048,14,33.1,,,August 1-August 28
10035,East Harlem,10035,40.791,-73.924596,17,48.2,,,August 1-August 28
10036,Hell's Kitchen/Midtown Manhattan,10036,40.75916,-73.989705,7,25.7,0,0.0,August 1-August 28
10037,Central Harlem (North)/East Harlem,10037,40.812957,-73.937419,18,86.6,0,0.0,August 1-August 28
10038,Chinatown/Financial District,10038,40.709696,-74.002391,14,61.2,,,August 1-August 28
10039,Central Harlem (North)/Washington Heights (South),10039,40.830807,-73.936247,14,51.5,0,0.0,August 1-August 28
10040,Washington Heights (North),10040,40.85831,-73.93049,13,29.6,0,0.0,August 1-August 28
10044,Roosevelt Island,10044,40.761931,-73.949924,1,,0,0.0,August 1-August 28
10065,Lenox Hill/Upper East Side,10065,40.764616,-73.963135,6,21.5,0,0.0,August 1-August 28
10069,Lincoln Square,10069,40.775924,-73.990256,0,0.0,0,0.0,August 1-August 28
10075,Lenox Hill/Upper East Side,"10075, 10162",40.773132,-73.955884,3,,0,0.0,August 1-August 28
10128,Upper East Side/Yorkville,10128,40.781466,-73.950226,13,22.2,0,0.0,August 1-August 28
10280,Battery Park City,10280,40.709318,-74.016654,0,0.0,0,0.0,August 1-August 28
10282,Battery Park City,10282,40.716409,-74.015077,1,,0,0.0,August 1-August 28
10301,Silver Lake/St. George,10301,40.628224,-74.096232,22,56.5,,,August 1-August 28
10302,Elm Park,10302,40.630598,-74.137891,6,32.5,,,August 1-August 28
10303,Graniteville/Mariner's Harbor/Port Ivory,10303,40.632135,-74.169166,15,56.6,,,August 1-August 28
10304,New Dorp/Todt Hill,10304,40.605985,-74.0943,19,45.4,,,August 1-August 28
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,10305,40.595474,-74.075437,12,28.0,5,11.7,August 1-August 28
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,40.571571,-74.125541,23,43.6,10,18.9,August 1-August 28
10307,Tottenville,10307,40.507771,-74.24227,10,67.1,0,0.0,August 1-August 28
10308,Great Kills,10308,40.551574,-74.150454,15,50.3,0,0.0,August 1-August 28
10309,Charleston/Prince's Bay/Woodrow,10309,40.531355,-74.220574,14,42.5,0,0.0,August 1-August 28
10310,Port Richmond/Randall Manor/West Brighton,10310,40.632398,-74.11618,11,46.9,,,August 1-August 28
10312,Annadale/Rossville,10312,40.545128,-74.18169,37,60.6,,,August 1-August 28
10314,Bloomfield/Freshkills Park,10314,40.599333,-74.166462,41,44.3,,,August 1-August 28
10451,Concourse/Melrose,10451,40.820705,-73.923865,20,42.2,,,August 1-August 28
10452,Concourse/Highbridge,10452,40.837364,-73.923461,30,39.9,,,August 1-August 28
10453,Morris Heights/Mount Hope/University Heights,10453,40.852304,-73.913578,47,59.7,,,August 1-August 28
10454,Mott Haven/Port Morris,10454,40.805487,-73.916605,25,66.1,0,0.0,August 1-August 28
10455,Mott Haven,10455,40.8147,-73.908583,17,40.6,0,0.0,August 1-August 28
10456,Claremont/Morrisania,10456,40.829884,-73.908121,43,46.1,,,August 1-August 28
10457,Belmont/Claremont/Mount Hope/Tremont,10457,40.847151,-73.898676,25,33.9,,,August 1-August 28
10458,Belmont/Fordham University/Kingsbridge,10458,40.862531,-73.88817,28,33.8,,,August 1-August 28
10459,Charlotte Gardens/Hunts Point,10459,40.82584,-73.892976,23,48.0,0,0.0,August 1-August 28
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,10460,40.841753,-73.879584,24,40.8,,,August 1-August 28
10461,Morris Park/Pelham Bay/Westchester Square,10461,40.847415,-73.840601,21,42.8,,,August 1-August 28
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,10462,40.842874,-73.858772,36,47.8,,,August 1-August 28
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,40.880824,-73.906514,18,25.7,5,7.1,August 1-August 28
10464,City Island,10464,40.872311,-73.804653,1,,0,0.0,August 1-August 28
10465,Country Club/Throgs Neck,10465,40.823931,-73.822886,24,55.7,0,0.0,August 1-August 28
10466,Edenwald/Wakefield,10466,40.890965,-73.845912,34,47.7,,,August 1-August 28
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,10467,40.880939,-73.873956,48,47.0,,,August 1-August 28
10468,Fordham/Kingsbridge/University Heights,10468,40.868161,-73.899844,31,39.8,,,August 1-August 28
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,10469,40.86876,-73.846984,34,46.8,,,August 1-August 28
10470,Wakefield/Woodlawn,10470,40.895986,-73.86802,7,46.7,0,0.0,August 1-August 28
10471,Fieldston/North Riverdale/Riverdale,10471,40.899509,-73.901518,7,33.0,0,0.0,August 1-August 28
10472,Soundview,10472,40.829561,-73.869393,20,29.4,,,August 1-August 28
10473,Castle Hill/Clason Point/Soundview,10473,40.818135,-73.858718,36,60.9,,,August 1-August 28
10474,Hunts Point,10474,40.810595,-73.884618,3,,0,0.0,August 1-August 28
10475,Co-op City/Edenwald,10475,40.868941,-73.824854,13,30.4,0,0.0,August 1-August 28
11004,Bellerose/Douglaston-Little Neck,"11004, 11005",40.748068,-73.710907,3,,0,0.0,August 1-August 28
11101,Astoria (South)/Long Island City/Sunnyside,11101,40.747077,-73.938586,10,27.1,,,August 1-August 28
11102,Astoria (North),11102,40.772498,-73.925912,12,39.9,0,0.0,August 1-August 28
11103,Astoria (North)/Astoria (South),11103,40.762536,-73.913541,9,25.8,0,0.0,August 1-August 28
11104,Sunnyside,11104,40.744658,-73.920205,5,19.7,,,August 1-August 28
11105,Ditmars Steinway,11105,40.778969,-73.906286,7,19.3,0,0.0,August 1-August 28
