modzcta,modzcta_name,label,lat,lon,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
10001,Chelsea/NoMad/West Chelsea,"10001, 10118",40.750693,-73.997137,1.56,1479,23,814.8,Yes,September 4-September 10
10002,Chinatown/Lower East Side,10002,40.715781,-73.986176,3.08,2238,69,540.3,Yes,September 4-September 10
10003,East Village/Gramercy/Greenwich Village,10003,40.731825,-73.989164,1.98,3785,75,1119,Yes,September 4-September 10
10004,Financial District,10004,40.703675,-74.013106,1.16,258,3,1110.3,Yes,September 4-September 10
10005,Financial District,10005,40.706092,-74.008861,2.29,436,10,867.9,Yes,September 4-September 10
10006,Financial District,10006,40.709651,-74.013044,1.15,174,2,828,Yes,September 4-September 10
10007,TriBeCa,10007,40.713923,-74.007546,1.85,433,8,1001.2,Yes,September 4-September 10
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,10009,40.72638,-73.978704,2.22,2248,50,699.9,Yes,September 4-September 10
10010,Flatiron/Gramercy/Kips Bay,10010,40.739119,-73.982544,1.73,1615,28,734.6,Yes,September 4-September 10
10011,Chelsea,10011,40.741707,-74.000062,2.43,2182,53,609.1,Yes,September 4-September 10
10012,Greenwich Village/SoHo,10012,40.725576,-73.998078,2.49,1243,31,872.5,Yes,September 4-September 10
10013,Hudson Square/Little Italy/SoHo/TriBeCa,10013,40.720096,-74.004763,1.91,1568,30,759.9,Yes,September 4-September 10
10014,Hudson Square/Meatpacking District/West Village,10014,40.73402,-74.006314,2.16,1342,29,721.9,Yes,September 4-September 10
10016,Kips Bay/Murray Hill/NoMad,10016,40.745174,-73.978319,2.08,2639,55,740.5,Yes,September 4-September 10
10017,East Midtown/Murray Hill,10017,40.752543,-73.973037,0.96,935,9,877.5,Yes,September 4-September 10
10018,Hell's Kitchen/Midtown Manhattan,10018,40.755191,-73.992667,2.07,1161,24,1390.9,Yes,September 4-September 10
