date_of_interest,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,INCOMPLETE
02/06/2024,636,305,621,952,106,73,110,177,201,67,200,273,94,60,99,161,179,81,165,260,56,24,48,81,0
02/07/2024,646,358,602,925,136,82,105,172,208,85,196,269,94,63,94,156,167,96,161,253,41,32,45,75,0
02/08/2024,593,289,580,888,89,49,99,163,207,78,191,263,106,63,92,151,147,72,154,240,43,27,43,71,0
02/09/2024,535,276,576,877,104,57,100,162,175,83,191,265,91,52,91,148,137,56,152,232,28,28,42,69,0
02/10/2024,345,202,569,867,62,36,100,162,103,45,188,259,51,42,89,146,91,54,150,229,38,25,43,70,0
02/11/2024,367,240,556,848,69,28,99,158,124,58,184,256,38,52,85,142,101,71,145,223,35,31,42,69,0
02/12/2024,683,312,544,827,114,63,97,153,191,72,173,242,116,45,84,138,205,90,147,221,57,42,43,72,0
02/13/2024,357,149,504,765,51,26,89,138,123,37,162,227,49,39,78,129,103,37,136,204,31,10,39,67,0
02/14/2024,473,266,479,727,87,51,82,127,154,46,154,214,65,54,74,123,132,79,131,196,35,36,38,67,0
02/15/2024,484,240,463,704,78,55,81,126,159,53,147,203,71,51,69,117,143,58,130,194,33,23,37,65,0
02/16/2024,399,200,444,674,70,41,76,119,105,45,137,188,61,38,64,110,130,46,129,191,33,30,37,66,0
02/17/2024,252,132,431,651,52,36,74,117,64,26,131,180,30,22,61,104,81,37,128,188,25,11,36,62,0
02/18/2024,274,144,417,624,43,30,71,114,90,26,127,170,43,21,62,101,75,48,124,181,23,19,34,58,0
02/19/2024,387,178,375,562,57,33,63,101,136,33,119,157,47,36,52,90,116,56,111,163,31,20,30,51,0
02/20/2024,405,187,382,574,75,41,66,107,135,40,120,159,55,33,53,90,104,60,112,166,36,13,31,53,0
02/21/2024,376,175,368,548,60,36,62,101,122,38,116,153,61,31,53,86,107,49,108,159,26,21,30,49,0
02/22/2024,388,167,354,523,66,38,60,97,119,35,110,145,76,28,53,83,100,50,102,151,27,16,29,47,0
02/23/2024,295,136,340,499,56,27,58,93,84,26,107,139,37,20,50,77,90,45,96,145,28,18,28,45,0
02/24/2024,197,132,332,492,33,16,56,87,62,29,107,139,34,27,50,78,52,46,92,143,16,14,27,44,0
02/25/2024,212,135,323,481,34,27,54,86,65,23,103,135,29,26,48,77,60,44,90,140,24,15,27,44,0
