date,Admit_0_4,Admit_5_12,Admit_13_17,Admit_18_24,Admit_25_34,Admit_35_44,Admit_45_54,Admit_55_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_4,Visit_5_12,Visit_13_17,Visit_18_24,Visit_25_34,Visit_35_44,Visit_45_54,Visit_55_64,Visit_65_74,Visit_75_,Visit_All_ages
2021-07-27,1.3078245273,0,0.4561114615,0.2764070693,0.666977923,0.6103861564,1.6097676916,2.1000105001,2.431635289,3.108003108,1.1906536546,29.519467902,7.4350212853,3.8769474226,5.6663449196,4.8022410458,4.4470991398,5.1133797262,4.8000240001,5.5784574278,7.3129484894,6.8581650503
2021-07-28,0.7473283013,0.1327682372,0.2280557307,0.4146106039,0.4668845461,1.0463762682,1.1363066058,2.5000125001,3.4328968786,4.3877690937,1.3454386297,28.958971676,7.833325997,5.7013932685,6.7719731967,4.7355432535,5.0574852962,4.4505342061,5.3000265001,7.1518684972,6.9473010649,7.2034546101
2021-07-29,0.9341603767,0.2655364745,0,0.1382035346,0.7336757153,0.5231881341,0.7575377372,1.1000055,1.7164484393,4.2049453814,0.9406163871,25.969658471,6.1073389129,5.4733375378,5.9427519889,5.1357300073,4.7086932068,3.9770731204,4.7000235001,4.4341584682,6.5816536405,6.4176231981
2021-07-30,2.0551528286,0.1327682372,0.2280557307,0.5528141385,0.2667911692,1.3079703352,1.0416143887,1.1000055,1.4303736994,4.0221216692,1.0715882891,25.22233017,5.7090342012,5.4733375378,6.3573625928,5.069032215,5.2318813409,4.7346108576,3.8000190001,4.1480837284,6.9473010649,6.4176231981
2021-07-31,1.3078245273,0.2655364745,0.2280557307,0.8292212078,0.4001867538,0.6975841788,1.7044599087,1.200006,2.1455605491,4.3877690937,1.178747118,26.156490546,5.8418024384,3.4208359611,7.1865838005,4.4687520843,4.6214951845,4.5452264233,4.1000205001,4.4341584682,7.3129484894,6.3223709058
2021-08-01,0.7473283013,0,0.2280557307,0.5528141385,0.4668845461,0.5231881341,1.3256910401,1.3000065,1.7164484393,2.5595319713,0.8929902409,29.145803752,5.7090342012,3.6488916918,6.0809555235,4.8022410458,4.2727030951,5.1133797262,4.0000200001,5.4354200578,4.0221216692,6.3580905154
2021-08-02,1.8683207533,0,0,0.4146106039,0.3334889615,0.9591782458,1.3256910401,1.600008,1.5734110694,5.6675350793,1.2025601911,34.937598087,7.0367165735,4.7891703455,6.0809555235,5.8027079304,5.0574852962,5.3974563777,5.7000285001,3.7189716185,8.0442433384,7.54874417
2021-08-03,0.9341603767,0.3983047117,0.4561114615,0.5528141385,0.4001867538,1.2207723129,1.4203832573,2.6000130001,3.4328968786,3.6564742447,1.4168778489,28.39847545,7.0367165735,5.245281807,5.8045484543,5.8027079304,6.1910595868,4.8293030748,5.4000270001,6.7227563873,7.3129484894,7.3820526583
2021-08-04,1.120992452,0,0,0.2764070693,0.4668845461,0.6975841788,1.0416143887,1.3000065,2.7177100289,5.8503587915,1.1668405815,25.969658471,6.7711800991,4.7891703455,7.3247873352,5.5359167612,5.493475408,4.1664575547,5.0000250001,6.7227563873,8.5927144751,7.1201088543
2021-08-05,1.4946566026,0.2655364745,0,0.6910176731,0.9337690922,1.2207723129,1.0416143887,1.5000075,1.8594858093,5.4847113671,1.3335320931,26.343322622,5.3107294895,4.3330588841,5.3899378504,6.603081438,5.5806734303,5.4921485948,4.9000245001,5.006307948,8.9583618995,7.0605761716
2021-08-06,2.80248113,0.3983047117,0.6841671922,0.5528141385,1.2005602615,1.0463762682,1.5150754744,2.2000110001,3.0037847688,5.3018876548,1.702634726,30.079964128,6.5056436246,3.6488916918,4.9753272465,6.2028946842,5.9294655197,5.6815330291,5.8000290001,7.2949058671,8.7755381873,7.6201833892
2021-08-07,2.80248113,0.6638411862,0.912222923,0.9674247424,0.666977923,0.9591782458,1.4203832573,1.600008,2.1455605491,5.6675350793,1.5359432144,27.651147149,6.2401071501,3.1927802304,5.2517343158,5.5359167612,6.0166635421,5.0186875091,5.5000275001,5.8645321677,8.0442433384,7.048669635
2021-08-08,1.120992452,0.9293776607,0.4561114615,0.1382035346,0.8003735076,0.7847822011,1.0416143887,2.0000100001,3.0037847688,4.5705928059,1.3573451662,26.343322622,6.6384118618,3.4208359611,6.633769662,6.2695924765,5.9294655197,4.5452264233,6.2000310002,7.1518684972,8.5927144751,7.417772268
2021-08-09,2.0551528286,0.3983047117,0.2280557307,0.6910176731,0.8670712999,1.4823663799,1.5150754744,2.1000105001,3.2898595087,5.1190639426,1.6431020433,28.585307526,6.7711800991,3.1927802304,6.3573625928,7.0032681918,6.8886437656,7.1019162864,7.7000385002,8.8683169365,11.152246446,8.6084259225
2021-08-10,2.6156490546,0.3983047117,0.2280557307,0.8292212078,1.0671646768,0.3487920894,1.7991521259,2.3000115001,2.2885979191,4.2049453814,1.4883170682,28.958971676,6.7711800991,4.5611146148,6.4955661274,6.8031748149,4.8830892515,7.1019162864,6.1000305002,7.0088311272,7.3129484894,7.810687974
2021-08-11,2.6156490546,0.6638411862,0.2280557307,0.6910176731,0.1333955846,1.6567624246,1.6097676916,3.0000150001,3.5759342486,5.1190639426,1.7383543357,26.716986772,5.9745706757,5.0172260763,7.8776014737,5.4692189689,7.1502378326,5.586840812,6.9000345002,7.7240179769,9.5068330362,7.9178468029
2021-08-12,2.6156490546,0.6638411862,0.2280557307,0.2764070693,0.8003735076,0.8719802235,1.5150754744,1.9000095,3.0037847688,5.8503587915,1.571662824,29.145803752,6.1073389129,3.1927802304,4.5607166426,6.5363836457,6.8014457432,6.7231474178,5.9000295001,7.8670553469,9.324009324,7.8702206567
2021-08-13,2.241984904,0.7966094234,0.4561114615,0.1382035346,0.8003735076,1.1335742905,1.6097676916,2.4000120001,4.1480837284,6.0331825038,1.7740739453,24.101337718,6.6384118618,4.7891703455,4.422513108,5.4025211765,6.9758417879,6.7231474178,6.9000345002,9.5835037862,8.9583618995,7.7273422181
2021-08-14,2.9893132053,0.2655364745,0.6841671922,0.6910176731,0.8003735076,0.6103861564,1.5150754744,1.600008,3.0037847688,5.3018876548,1.5121301413,30.82729243,6.3728753874,4.1050031533,4.9753272465,5.2024277996,5.5806734303,5.4921485948,4.2000210001,6.2936442775,9.8724804607,7.2272676832
2021-08-15,2.4288169793,0.7966094234,0.2280557307,0.4146106039,0.4668845461,1.3079703352,1.6097676916,2.6000130001,2.8607473989,5.3018876548,1.6311955068,26.716986772,7.302253048,3.6488916918,6.4955661274,4.3353564997,6.4526536538,5.3974563777,7.6000380002,6.5797190174,8.0442433384,7.417772268
2021-08-16,4.2971377326,0.9293776607,0.2280557307,0.8292212078,0.8670712999,1.4823663799,1.893844343,2.1000105001,4.4341584682,5.1190639426,1.9883916031,30.453628279,5.7090342012,4.3330588841,7.1865838005,6.6697792303,6.4526536538,7.3859929379,6.7000335002,10.012615896,8.7755381873,8.5012670936
2021-08-17,3.1761452806,0.6638411862,0.2280557307,0.8292212078,0.666977923,1.8311584693,1.4203832573,2.4000120001,4.1480837284,5.6675350793,1.8931393108,30.266796204,5.8418024384,4.5611146148,8.4304156122,5.4025211765,9.1557923466,6.5337629835,7.1000355002,8.4392048267,9.6896567485,8.6322389956
2021-08-18,3.1761452806,0.3983047117,0.4561114615,0.6910176731,0.7336757153,0.8719802235,1.230998823,2.0000100001,3.7189716185,3.6564742447,1.5121301413,25.969658471,6.6384118618,4.7891703455,8.7068226814,6.0028013073,7.760623989,7.0072240692,7.4000370002,8.4392048267,7.8614196261,8.3583886551
2021-08-19,3.1761452806,0.2655364745,0.2280557307,0.6910176731,0.4001867538,0.8719802235,1.230998823,2.0000100001,3.7189716185,6.216006216,1.5954758971,30.82729243,5.1779612522,3.4208359611,6.4955661274,5.4025211765,6.1910595868,5.7762252463,6.4000320002,8.1531300868,9.1411856118,7.7392487547
2021-08-20,2.0551528286,0.5310729489,0.6841671922,0.1382035346,0.5335823384,1.2207723129,1.5150754744,2.5000125001,2.8607473989,4.9362402304,1.5359432144,26.156490546,5.4434977267,4.1050031533,5.1135307811,6.0028013073,6.0166635421,6.249686332,6.9000345002,7.1518684972,9.1411856118,7.5011180238
2021-08-21,4.1103056573,0.5310729489,0.2280557307,0.1382035346,0.6002801307,0.6975841788,1.230998823,1.3000065,2.1455605491,6.7644773527,1.4645039951,30.453628279,5.8418024384,4.1050031533,4.8371237119,5.3358233842,4.6214951845,6.0603018977,5.4000270001,5.5784574278,11.335070159,7.286800366
2021-08-22,2.6156490546,0.2655364745,0.2280557307,0.5528141385,0.5335823384,1.3079703352,1.4203832573,2.4000120001,3.7189716185,4.9362402304,1.6192889702,25.59599432,4.5141200661,3.1927802304,6.633769662,4.8689388381,6.2782576091,5.586840812,5.5000275001,6.7227563873,8.4098907628,6.9653238792
2021-08-23,2.4288169793,0.1327682372,0.2280557307,0.1382035346,0.4668845461,0.7847822011,1.5150754744,3.3000165001,3.8620089885,6.3988299282,1.702634726,29.519467902,6.6384118618,2.9647244996,4.5607166426,6.0028013073,6.6270496985,5.8709174634,7.4000370002,7.0088311272,10.60377531,7.8940337298
2021-08-24,2.6156490546,0.2655364745,0.2280557307,0.6910176731,0.6002801307,0.7847822011,1.230998823,2.4000120001,3.2898595087,6.0331825038,1.5835693606,28.211643375,5.9745706757,3.6488916918,6.9101767313,4.6021476689,4.8830892515,7.480685155,7.2000360002,9.2974290463,9.5068330362,7.7987814374
2021-08-25,1.681488678,0.5310729489,0,0.2764070693,0.6002801307,1.6567624246,1.230998823,2.0000100001,2.2885979191,3.6564742447,1.3335320931,27.277482998,5.1779612522,4.5611146148,5.528141385,6.3362902688,7.6734259667,6.1549941149,7.3000365002,8.0100927168,6.7644773527,7.8464075836
