date_of_interest,CASE_COUNT,PROBABLE_CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_PROBABLE_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT_7DAY_AVG,BX_DEATH_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_PROBABLE_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_PROBABLE_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT_7DAY_AVG,MN_DEATH_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_PROBABLE_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT_7DAY_AVG,QN_DEATH_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_PROBABLE_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT_7DAY_AVG,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
07/04/2023,103,56,11,0,144,230,18,1,20,10,3,0,24,14,38,4,0,26,9,3,0,39,22,61,6,0,17,11,2,0,30,22,52,3,0,36,21,2,0,43,23,66,4,0,4,5,1,0,7,5,12,1,0,0
07/05/2023,219,119,25,3,150,240,19,1,31,30,5,0,25,17,41,4,0,57,28,9,1,41,22,63,7,1,54,19,7,0,32,21,54,3,0,66,36,2,2,45,25,70,3,1,11,6,2,0,7,5,12,1,0,0
07/06/2023,196,98,21,3,156,247,19,2,28,18,2,0,25,17,42,4,0,54,32,8,2,43,23,66,7,1,46,18,6,1,33,20,53,4,0,57,23,5,0,47,26,73,4,0,11,7,0,0,8,5,13,1,0,0
07/07/2023,165,99,24,1,156,246,20,1,22,18,9,1,23,16,39,5,0,45,18,2,0,43,21,65,7,1,38,21,2,0,33,20,54,3,0,47,29,6,0,47,26,73,4,0,13,13,5,0,9,7,15,2,0,0
07/08/2023,136,78,17,3,159,247,21,2,21,18,3,0,23,17,40,5,0,32,14,7,0,43,19,63,7,1,30,25,3,0,35,20,55,4,0,44,16,4,3,49,25,74,4,1,9,5,0,0,9,6,16,2,0,0
07/09/2023,112,84,13,0,157,248,19,2,16,14,3,0,23,18,41,5,0,42,13,3,0,44,20,64,6,0,23,17,5,0,33,20,53,4,0,27,32,2,0,48,27,75,3,1,4,8,0,0,9,7,16,1,0,0
07/10/2023,312,122,29,2,178,271,20,2,55,25,4,0,28,19,47,4,0,99,26,11,0,51,20,71,6,0,64,29,3,0,39,20,59,4,0,85,31,11,2,52,27,79,5,1,9,11,0,0,9,8,17,1,0,0
07/11/2023,307,118,14,1,207,309,20,2,70,22,3,0,35,21,55,4,0,73,32,2,1,57,23,81,6,1,78,22,3,0,48,22,69,4,0,71,36,6,0,57,29,86,5,1,15,6,0,0,10,8,18,1,0,0
07/12/2023,236,143,22,1,209,315,20,2,30,37,5,1,35,22,56,4,0,69,30,6,0,59,24,83,6,0,56,23,4,0,48,22,70,4,0,69,44,7,0,57,30,87,6,1,12,9,0,0,10,8,19,1,0,0
07/13/2023,409,135,22,0,240,351,20,1,103,28,2,0,45,23,68,4,0,80,31,9,0,63,23,86,6,0,120,29,3,0,58,24,82,3,0,95,41,6,0,63,33,95,6,1,11,6,2,0,10,8,19,1,0,0
07/14/2023,308,117,30,0,260,374,21,1,62,17,4,0,51,23,74,3,0,77,25,10,0,67,24,92,7,0,83,31,9,0,65,25,90,4,0,77,39,6,0,67,34,101,6,1,9,5,1,0,10,7,17,0,0,0
07/15/2023,147,98,16,1,262,378,21,1,29,20,9,0,52,23,75,4,0,31,25,2,0,67,26,93,6,0,25,27,1,0,64,25,90,4,0,55,19,3,1,68,35,103,6,0,7,7,1,0,10,7,17,1,0,0
07/16/2023,150,102,27,1,267,386,23,1,25,23,5,0,53,25,78,5,0,49,29,9,1,68,28,97,7,0,30,20,8,0,65,26,91,4,0,39,23,5,0,70,33,103,6,0,7,7,0,0,10,7,17,1,0,0
07/17/2023,318,175,28,0,268,395,23,1,53,34,7,0,53,26,79,5,0,105,39,9,0,69,30,99,7,0,59,47,3,0,64,28,93,4,0,81,49,7,0,70,36,105,6,0,20,6,2,0,12,7,18,1,0,0
07/18/2023,273,174,31,0,263,398,25,0,53,46,6,0,51,29,80,5,0,75,34,10,0,69,30,100,8,0,51,33,8,0,61,30,91,5,0,83,49,7,0,71,38,109,6,0,11,12,0,0,11,7,18,1,0,0
07/19/2023,308,180,32,0,273,413,27,0,67,39,11,0,56,30,86,6,0,90,34,11,0,72,31,103,9,0,58,45,3,0,61,33,94,5,0,84,53,6,0,73,39,112,6,0,9,9,1,0,11,7,18,1,0,0
07/20/2023,267,189,34,0,253,401,28,0,61,35,9,0,50,31,81,7,0,59,41,10,0,69,32,102,9,0,54,47,6,0,51,36,87,5,0,84,55,9,0,72,41,113,6,0,9,11,0,0,10,8,18,1,0,0
