date_of_interest,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,BX_DEATH_COUNT,BX_DEATH_COUNT_7DAY_AVG,BK_DEATH_COUNT,BK_DEATH_COUNT_7DAY_AVG,MN_DEATH_COUNT,MN_DEATH_COUNT_7DAY_AVG,QN_DEATH_COUNT,QN_DEATH_COUNT_7DAY_AVG,SI_DEATH_COUNT,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
02/21/2023,11,12,0,1,6,4,2,2,3,3,0,1,
02/22/2023,8,11,1,1,3,4,0,1,3,4,1,1,
02/23/2023,4,10,0,1,1,4,1,1,1,3,1,1,
02/24/2023,7,9,1,1,3,3,1,1,1,3,1,1,
02/25/2023,7,8,1,1,1,3,1,1,2,3,2,1,
02/26/2023,5,8,0,1,0,2,2,1,0,2,3,1,
02/27/2023,8,7,2,1,2,2,2,1,2,2,0,1,
02/28/2023,5,6,0,1,1,2,2,1,2,2,0,1,
03/01/2023,4,6,0,1,1,1,0,1,1,1,2,1,
03/02/2023,8,6,0,1,2,1,6,2,0,1,0,1,
03/03/2023,9,7,3,1,2,1,1,2,2,1,1,1,
03/04/2023,6,6,0,1,3,2,1,2,1,1,1,1,
03/05/2023,7,7,1,1,3,2,0,2,2,1,1,1,
03/06/2023,5,6,1,1,0,2,1,2,2,1,1,1,
03/07/2023,6,6,2,1,1,2,1,1,2,1,0,1,
03/08/2023,7,7,1,1,3,2,0,1,2,2,1,1,
03/09/2023,7,7,0,1,2,2,2,1,3,2,0,1,
03/10/2023,6,6,0,1,4,2,0,1,1,2,1,1,
03/11/2023,11,7,2,1,2,2,1,1,3,2,3,1,
03/12/2023,6,7,1,1,2,2,0,1,3,2,0,1,
03/13/2023,5,7,1,1,1,2,1,1,1,2,1,1,
03/14/2023,5,7,1,1,2,2,0,1,0,2,2,1,
03/15/2023,4,6,0,1,0,2,2,1,2,2,0,1,
03/16/2023,4,6,1,1,2,2,0,1,0,1,1,1,
03/17/2023,3,5,1,1,2,2,0,1,0,1,0,1,
03/18/2023,4,4,0,1,4,2,0,0,0,1,0,1,
03/19/2023,5,4,1,1,2,2,0,0,1,1,1,1,
03/20/2023,4,4,0,1,0,2,1,0,1,1,2,1,
03/21/2023,4,4,1,1,3,2,0,0,0,1,0,1,
03/22/2023,2,4,0,1,0,2,2,0,0,0,0,1,
03/23/2023,6,4,1,1,2,2,1,1,2,1,0,0,
03/24/2023,5,4,1,1,2,2,0,1,0,1,2,1,
03/25/2023,5,4,0,1,2,2,1,1,2,1,0,1,
03/26/2023,7,5,0,0,2,2,1,1,2,1,2,1,
03/27/2023,6,5,1,1,1,2,0,1,3,1,1,1,
03/28/2023,4,5,1,1,1,1,2,1,0,1,0,1,
03/29/2023,6,6,0,1,3,2,0,1,1,1,2,1,
03/30/2023,6,6,0,0,3,2,2,1,0,1,1,1,
03/31/2023,4,5,2,1,0,2,2,1,0,1,0,1,
04/01/2023,4,5,1,1,2,2,0,1,1,1,0,1,
04/02/2023,2,5,0,1,1,2,0,1,1,1,0,1,
04/03/2023,4,4,0,1,1,2,0,1,1,1,2,1,
04/04/2023,0,4,0,0,0,1,0,1,0,1,0,1,
04/05/2023,2,3,1,1,1,1,0,1,0,0,0,0,
04/06/2023,0,2,0,1,0,1,0,0,0,0,0,0,
04/07/2023,2,2,0,0,0,1,1,0,1,1,0,0,
04/08/2023,3,2,0,0,1,1,1,0,1,1,0,0,
04/09/2023,0,2,0,0,0,0,0,0,0,0,0,0,
04/10/2023,1,1,0,0,0,0,1,0,0,0,0,0,
04/11/2023,3,2,0,0,2,1,0,0,0,0,1,0,
04/12/2023,4,2,1,0,0,0,1,1,0,0,2,0,
04/13/2023,2,2,1,0,0,0,0,1,1,0,0,0,
04/14/2023,1,2,0,0,0,0,0,0,1,0,0,0,
04/15/2023,2,2,1,0,0,0,0,0,1,0,0,0,
04/16/2023,3,2,1,1,0,0,0,0,2,1,0,0,
04/17/2023,2,2,0,1,1,0,0,0,0,1,1,1,
04/18/2023,2,2,1,1,1,0,0,0,0,1,0,0,
04/19/2023,3,2,0,1,2,1,0,0,1,1,0,0,
04/20/2023,3,2,1,1,0,1,2,0,0,1,0,0,
04/21/2023,3,3,1,1,0,1,1,0,1,1,0,0,
04/22/2023,1,2,0,1,0,1,0,0,1,1,0,0,
04/23/2023,0,2,0,0,0,1,0,0,0,0,0,0,
04/24/2023,2,2,0,0,0,0,0,0,1,1,1,0,
04/25/2023,0,2,0,0,0,0,0,0,0,1,0,0,
04/26/2023,2,2,1,0,1,0,0,0,0,0,0,0,
04/27/2023,2,1,0,0,1,0,0,0,1,1,0,0,
04/28/2023,3,1,0,0,1,0,2,0,0,0,0,0,
04/29/2023,1,1,0,0,0,0,1,0,0,0,0,0,
04/30/2023,2,2,1,0,0,0,0,0,0,0,1,0,
05/01/2023,2,2,1,0,0,0,0,0,0,0,1,0,
05/02/2023,0,2,0,0,0,0,0,0,0,0,0,0,
05/03/2023,2,2,1,0,0,0,0,0,1,0,0,0,
05/04/2023,1,2,0,0,0,0,0,0,1,0,0,0,
05/05/2023,2,1,0,0,1,0,1,0,0,0,0,0,
05/06/2023,1,1,1,1,0,0,0,0,0,0,0,0,
05/07/2023,1,1,0,0,1,0,0,0,0,0,0,0,
05/08/2023,1,1,0,0,0,0,0,0,1,0,0,0,
05/09/2023,0,1,0,0,0,0,0,0,0,0,0,0,
05/10/2023,2,1,0,0,0,0,0,0,1,0,1,0,
05/11/2023,1,1,0,0,0,0,1,0,0,0,0,0,
05/12/2023,3,1,0,0,0,0,0,0,3,1,0,0,
05/13/2023,1,1,0,0,0,0,0,0,0,1,1,0,
05/14/2023,2,1,0,0,0,0,0,0,2,1,0,0,
05/15/2023,1,1,0,0,0,0,0,0,1,1,0,0,
05/16/2023,1,2,0,0,0,0,1,0,0,1,0,0,60
05/17/2023,1,1,0,0,0,0,1,0,0,1,0,0,60
05/18/2023,0,1,0,0,0,0,0,0,0,1,0,0,60
05/19/2023,0,1,0,0,0,0,0,0,0,0,0,0,60
05/20/2023,0,1,0,0,0,0,0,0,0,0,0,0,60
05/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,60
05/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,60
