date_of_interest,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT,BX_HOSPITALIZED_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT,BK_HOSPITALIZED_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT,MN_HOSPITALIZED_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT,QN_HOSPITALIZED_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT,SI_HOSPITALIZED_COUNT_7DAY_AVG,INCOMPLETE
01/01/2021,301,300,63,57,83,91,37,43,92,89,26,20,0
01/02/2021,325,307,56,59,88,91,52,46,100,91,29,21,0
01/03/2021,297,314,52,61,91,91,38,46,101,96,15,21,0
01/04/2021,394,320,64,60,129,94,62,47,113,97,26,22,0
01/05/2021,346,324,70,61,96,96,51,46,104,98,25,23,0
01/06/2021,378,333,74,62,106,98,43,46,125,102,30,24,0
01/07/2021,356,342,64,63,111,101,33,45,120,108,28,26,0
01/08/2021,352,350,65,64,107,104,32,44,122,112,26,26,0
01/09/2021,321,349,62,64,88,104,35,42,108,113,28,25,0
01/10/2021,306,350,52,64,83,103,45,43,100,113,26,27,0
01/11/2021,401,351,88,68,120,102,55,42,111,113,27,27,0
01/12/2021,379,356,89,71,113,104,50,42,99,112,28,28,0
01/13/2021,427,363,96,74,128,107,59,44,113,110,31,28,0
01/14/2021,437,375,80,76,137,111,64,49,122,111,34,29,0
01/15/2021,399,381,74,77,127,114,53,52,115,110,30,29,0
01/16/2021,363,387,70,78,98,115,53,54,118,111,24,29,0
01/17/2021,332,391,72,81,97,117,53,55,87,109,23,28,0
01/18/2021,436,396,98,83,133,119,57,56,119,110,29,28,0
01/19/2021,382,397,74,81,112,119,61,57,115,113,20,27,0
01/20/2021,363,387,86,79,95,114,51,56,113,113,18,25,0
01/21/2021,416,384,88,80,117,111,66,56,120,112,25,24,0
01/22/2021,434,389,101,84,124,111,57,57,123,114,29,24,0
01/23/2021,326,384,77,85,90,110,58,58,81,108,20,23,0
01/24/2021,340,385,77,86,96,110,52,57,94,109,21,23,0
01/25/2021,395,379,102,86,106,106,63,58,109,108,15,21,0
01/26/2021,366,377,85,88,91,103,52,57,118,108,20,21,0
01/27/2021,426,386,88,88,133,108,56,58,124,110,25,22,0
01/28/2021,396,383,107,91,116,108,52,56,106,108,15,21,0
01/29/2021,401,379,83,88,123,108,70,58,109,106,16,19,0
01/30/2021,270,371,60,86,71,105,45,56,75,105,19,19,0
01/31/2021,311,366,64,84,101,106,41,54,89,104,16,18,0
02/01/2021,283,350,82,81,82,102,38,51,68,98,13,18,0
02/02/2021,399,355,91,82,137,109,61,52,92,95,18,17,0
02/03/2021,450,359,101,84,147,111,73,54,109,93,20,17,0
02/04/2021,428,363,82,80,143,115,72,57,119,94,12,16,0
02/05/2021,446,370,106,84,135,117,70,57,116,95,19,17,0
02/06/2021,361,383,84,87,99,121,65,60,92,98,21,17,0
02/07/2021,314,383,81,90,103,121,42,60,79,96,9,16,0
02/08/2021,392,399,99,92,128,127,55,63,93,100,17,17,0
02/09/2021,406,400,99,93,107,123,61,63,114,103,25,18,0
02/10/2021,370,388,84,91,121,119,47,59,96,101,22,18,0
02/11/2021,321,373,66,88,106,114,52,56,82,96,15,18,0
02/12/2021,338,357,79,85,106,110,44,52,86,92,23,19,0
02/13/2021,284,346,69,82,75,107,44,49,88,91,8,17,0
02/14/2021,252,338,58,79,85,104,33,48,63,89,13,18,0
02/15/2021,324,328,70,75,96,99,52,48,89,88,16,17,0
02/16/2021,353,320,79,72,116,101,54,47,93,85,11,15,0
02/17/2021,291,309,68,70,98,97,41,46,76,82,8,13,0
