uhf,neighborhood_name,case_rate_7day
101,Kingsbridge - Riverdale,340.92
102,Northeast Bronx,325.8
103,Fordham - Bronx Park,293.59
104,Pelham - Throgs Neck,374.02
105,Crotona - Tremont,273.58
106,High Bridge - Morrisania,310.51
107,Hunts Point - Mott Have,293.76
201,Greenpoint,262.72
202,Downtown - Heights - Park Slope,243.05
203,Bedford Stuyvesant - Crown Heights,271.43
204,East New York,290.36
205,Sunset Park,273.68
206,Borough Park,299.65
207,East Flatbush - Flatbush,276.31
208,Canarsie - Flatlands,294.33
209,Bensonhurst - Bay Ridge,276.65
210,Coney Island - Sheepshead Bay,301.56
211,Williamsburg - Bushwick,310.43
301,Washington Heights - Inwood,256.75
302,Central Harlem - Morningside Heights,272.17
303,East Harlem,337.55
304,Upper West Side,281.98
305,Upper East Side,282.62
306,Chelsea - Clinton,250.13
307,Gramercy Park - Murray,297.46
308,Greenwich Village - SoHo,168.88
309,Union Square - Lower East Side,248.86
310,Lower Manhattan,195.37
401,Long Island City - Astoria,349.89
402,West Queens,331.47
403,Flushing - Clearview,280.71
404,Bayside - Little Neck,276.19
405,Ridgewood - Forest Hill,311.18
406,Fresh Meadows,300.91
407,Southwest Queens,310.8
408,Jamaica,341.64
409,Southeast Queens,350.75
410,Rockaway,237.31
501,Port Richmond,325.84
502,Stapleton - St. George,299.24
503,Willowbrook,268.04
504,South Beach - Tottenville,330.49
