"Week of diagnosis","Vaccinated + boosted case count","Vaccinated + boosted age-adjusted case rate","Vaccinated + boosted hospitalized count","Vaccinated + boosted age-adjusted hospitalized rate","Vaccinated + boosted death count","Vaccinated + boosted age-adjusted death rate","Vaccinated + unboosted case count","Vaccinated + unboosted age-adjusted case rate","Vaccinated + unboosted hospitalized count","Vaccinated + unboosted age-adjusted hospitalized rate","Vaccinated + unboosted death count","Vaccinated + unboosted age-adjusted death rate","Unvaccinated case count","Unvaccinated age-adjusted case rate","Unvaccinated hospitalized count","Unvaccinated age-adjusted hospitalized rate","Unvaccinated death count","Unvaccinated age-adjusted death rate","citywide_case_rate","citywide_hosp_rate_adj","citywide_death_rate_adj","incomplete"
05/20/2023,986,23.52,71,1.41,3,0.05,456,14.25,26,0.93,0,0,402,74.39,49,7.66,1,0.06,23.26,1.62,0.04,
05/27/2023,984,23.72,69,1.42,5,0.09,501,15.72,38,1.44,1,0.04,329,62.58,37,4.89,3,0.17,23.1,1.65,0.1,
06/03/2023,1075,25.41,81,1.55,3,0.05,519,16.31,48,1.8,1,0.04,376,69.94,29,3.48,0,0,24.9,1.8,0.04,
06/10/2023,963,22.8,84,1.62,0,0,448,13.85,34,1.2,3,0.12,348,67.97,40,5.9,0,0,22.21,1.77,0.04,
06/17/2023,956,23.03,72,1.41,3,0.06,463,14.4,33,1.29,0,0,342,62.46,40,5.89,2,0.11,22.24,1.72,0.07,
06/24/2023,832,20.7,56,1.13,5,0.09,417,12.82,34,1.27,0,0,276,49.95,28,4,1,0.06,19.54,1.32,0.07,
07/01/2023,921,21.95,56,1.09,2,0.04,410,12.59,25,0.94,3,0.13,305,58.68,32,4.67,2,0.46,20.63,1.25,0.09,
07/08/2023,855,20.33,72,1.4,2,0.04,379,11.73,28,0.97,0,0,335,63.88,37,5.45,3,0.17,20.04,1.5,0.05,
07/15/2023,1175,28.6,72,1.46,1,0.02,665,20.34,26,0.91,0,0,587,115.72,42,6.77,2,0.11,29.7,1.52,0.03,
07/22/2023,1393,33.7,107,2.14,1,0.02,733,22.4,44,1.58,1,0.04,507,99.49,41,6.57,0,0,33.6,2.24,0.02,12678.68
07/29/2023,1928,48.01,114,2.2,0,0,993,30.24,52,1.83,0,0,698,137.35,56,8.09,2,0.11,46.86,2.56,0.01,12678.68
08/05/2023,1522,38.11,98,1.88,0,0,771,23.36,37,1.3,0,0,1987,386.2,143,19.58,3,0.17,54.63,3.08,0.02,12678.68
