week_ending,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
11/12/2022,206.97,122.78,80.53,133.77,190.3,194.65,220.69,238.11,267.99,271.98,287.21
11/19/2022,201.67,120.68,73.84,113.44,187.89,187.44,226.93,242.29,247.67,258.63,290.06
11/26/2022,218.82,135,78.25,125.22,192.71,205.1,232.47,242.59,274.69,299.11,352.02
12/03/2022,306.66,209.65,127.62,207.7,304.11,299.25,326.5,341.41,373.2,365.19,437.49
12/10/2022,304.38,189.22,147.28,216.01,288.93,291.64,324.13,341.41,369.3,386.2,414.17
12/17/2022,301.17,188.84,149.42,226.64,279.14,297.03,329.31,338.1,358.28,354.76,409.18
12/24/2022,279.71,189.99,122.8,191.06,248.77,276.81,300.73,312.04,338.06,343.21,400.28
12/31/2022,254.55,190.94,78.66,110.89,215.14,234.55,276.89,294.33,327.05,341.82,402.24
01/07/2023,264.47,174.9,92.17,124.76,237.7,261.64,292.55,302.21,338.16,333.34,380.87
01/14/2023,202.48,159.06,116.51,121.29,175.4,195.26,212.95,221.28,240.06,252.23,286.85
01/21/2023,164.51,130.03,115.04,128.22,126.58,154.28,180.14,175.28,189.8,193.66,231.48
01/28/2023,142.91,124.69,105.14,93.34,109.55,134.26,157.18,155.73,158.07,167.5,202.28
