week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
11/25/2023,48.98,38.74,47.67,50.26,47.92
12/02/2023,66.27,56.99,61,72.92,60.15
12/09/2023,74.18,60.52,69.1,79.73,69.43
12/16/2023,105.32,84.36,95.72,113.77,102.68
12/23/2023,142.98,113.39,128.78,154.86,137.89
12/30/2023,167.55,133.76,159.72,190.63,142.25
01/06/2024,173,143.82,176.63,197.57,140.08
01/13/2024,154.78,123.68,160.17,170.87,131.27
01/20/2024,108.48,86.36,117.95,118.23,94.95
01/27/2024,97.92,79.63,105,107.05,86.79
02/03/2024,69.26,54.19,74.75,75.3,63.16
02/10/2024,48.92,32.63,58.17,49.48,47.25
