week_ending,age_all_ages,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
07/02/2022,1.03,0,0,0,,,0.8,3.9,8.01
07/09/2022,1.14,0,,,,,0.5,1.81,12.11
07/16/2022,1.18,0,,0,,0,,4.73,10.33
07/23/2022,1.48,0,0,,,0.49,0.7,3.2,14.96
07/30/2022,1.3,0,0,,,,1,2.5,12.29
08/06/2022,1.02,0,0,,0.44,0.58,0.5,0.83,10.51
08/13/2022,1.03,0,0,,,0.58,0.6,2.23,9.79
08/20/2022,0.78,0,0,0,,,,2.23,7.3
08/27/2022,0.74,0,0,,0,,1.3,1.67,6.23
09/03/2022,0.56,0,,,,,,,6.41
09/10/2022,0.31,0,0,0,0,,,,3.56
09/17/2022,0.26,0,0,,0,0,,,3.03
