week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
01/01/2022,10.1,4.78,12.84,8.65,7.07
01/08/2022,13.65,7.69,15.82,13.68,9.37
01/15/2022,10.62,7.75,11.25,8.69,8.49
01/22/2022,6.47,4.68,7.29,5.33,4.87
01/29/2022,3.68,3.55,3.79,2.5,3.06
02/05/2022,1.92,1.29,1.57,1.7,1.77
02/12/2022,1.04,0.79,1.56,0.89,0.55
02/19/2022,0.65,0.61,0.57,0.79,0.4
02/26/2022,0.3,,0.33,0.24,0.23
03/05/2022,0.3,,0.33,0.26,0.2
03/12/2022,0.08,0,0,,
03/19/2022,0.11,0,,,0.14
