week_ending,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
07/16/2022,14.97,8.59,0.67,3.7,6.24,8.09,9.68,8.37,17.12,33.53,73
07/23/2022,15.28,7.83,1.87,3.23,6.1,7.14,9.94,10.89,15.82,33.39,77.1
07/30/2022,13.01,8.97,1.87,3.47,5.25,6.81,8.62,9.63,13.11,25.04,64.64
08/06/2022,12.63,7.64,1.47,2.54,5.39,6.54,8.53,7.98,14.52,24.35,63.57
08/13/2022,11.82,8.78,1.47,1.85,4.68,5.26,7.39,7.78,13.71,23.37,60.54
08/20/2022,9.99,5.92,1.74,1.16,2.84,4.85,4.4,6.71,10.41,23.23,53.77
08/27/2022,9.08,5.92,1.07,1.85,4.12,4.25,6.16,6.61,11.31,18.78,41.31
09/03/2022,7.45,5.16,1.34,,3.26,3.84,2.81,5.06,9.91,14.19,38.64
09/10/2022,6.79,4.39,0.94,1.85,3.26,3.17,3.52,4.86,9.51,13.08,31.87
09/17/2022,6.49,3.63,1.61,2.31,2.27,2.22,3.43,3.7,8.11,15.16,32.76
09/24/2022,6.32,2.86,1.2,2.08,2.55,2.09,3.25,4.38,7.31,13.36,34.54
10/01/2022,6.68,3.82,1.2,1.85,2.27,3.57,3.69,3.6,6.41,14.47,36.32
