week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
03/26/2022,2.2,1.34,2.33,2,2.17
04/02/2022,2.53,1.92,2.71,2.14,2.33
04/09/2022,3.68,1.83,3.97,3.18,3.54
04/16/2022,3.9,2.47,4.44,3.38,3.26
04/23/2022,5.07,3.34,5.79,3.82,4.49
04/30/2022,5.64,4.14,6.88,4.66,4.7
05/07/2022,6.43,4.7,6.39,5.28,6.13
05/14/2022,7.53,6.1,8.6,6.68,6.04
05/21/2022,7.89,6.49,9.05,6.69,6.62
05/28/2022,7.56,4.99,9.55,7.13,5.89
06/04/2022,5.82,4.34,7.08,4.57,4.61
06/11/2022,3.02,1.9,4.58,2.47,2.24
