date_of_interest,CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,BX_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT_7DAY_AVG,BX_ALL_CASE_COUNT_7DAY_AVG,BK_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_ALL_CASE_COUNT_7DAY_AVG,MN_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT_7DAY_AVG,MN_ALL_CASE_COUNT_7DAY_AVG,QN_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT_7DAY_AVG,QN_ALL_CASE_COUNT_7DAY_AVG,SI_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT_7DAY_AVG,SI_ALL_CASE_COUNT_7DAY_AVG,INCOMPLETE
11/17/2020,1726,556,1429,1923,336,86,248,330,493,151,370,494,285,106,251,346,422,166,397,534,190,47,163,220,0
11/18/2020,1747,541,1460,1962,307,93,257,342,463,162,380,509,335,98,258,352,443,137,396,536,199,51,168,224,0
11/19/2020,1857,532,1510,2016,363,93,274,358,490,153,396,528,348,93,265,356,455,144,403,545,201,49,173,228,0
11/20/2020,1772,508,1550,2054,326,112,282,370,435,136,407,543,328,87,274,364,460,134,407,546,223,39,180,232,0
11/21/2020,1289,357,1588,2081,254,90,290,379,354,82,423,558,194,53,279,366,326,100,408,542,161,32,187,236,0
11/22/2020,1150,415,1624,2116,184,78,298,387,339,117,439,574,159,76,283,371,290,109,414,546,178,35,191,237,0
11/23/2020,2310,590,1693,2193,436,110,315,410,571,168,449,588,411,97,294,381,603,158,428,564,289,57,206,250,0
11/24/2020,2070,612,1742,2250,375,111,321,419,552,166,458,598,370,106,306,394,535,182,445,582,238,47,213,257,0
11/25/2020,2361,646,1830,2353,424,102,337,437,627,153,481,620,384,132,313,405,631,196,471,618,295,63,226,272,0
11/26/2020,806,387,1680,2182,137,56,305,399,243,106,446,578,136,76,283,373,199,116,435,577,91,33,211,254,0
11/27/2020,2296,772,1755,2294,387,147,314,413,603,198,470,611,386,148,291,390,647,205,462,614,273,74,218,267,0
11/28/2020,1786,586,1826,2398,332,127,325,429,444,149,483,634,295,103,306,411,500,156,486,647,215,51,226,277,0
11/29/2020,1722,635,1907,2511,229,120,331,442,501,182,506,666,232,97,316,425,482,171,514,683,278,65,240,296,0
11/30/2020,2798,798,1977,2611,456,147,334,450,862,201,547,712,389,128,313,426,716,229,530,709,375,93,252,313,0
12/01/2020,3139,996,2130,2818,579,172,363,488,879,246,594,771,480,192,329,454,841,277,574,767,360,109,270,339,0
12/02/2020,3001,830,2221,2936,522,140,377,507,805,219,620,805,462,149,340,468,829,232,602,800,383,89,282,356,0
12/03/2020,2878,909,2517,3307,518,162,432,577,822,224,702,905,437,156,383,522,766,273,683,903,335,94,317,399,0
12/04/2020,2807,765,2590,3379,562,139,457,601,764,196,725,928,399,127,385,521,754,241,698,924,328,62,325,405,0
12/05/2020,1881,659,2604,3403,326,111,456,598,506,186,734,942,206,89,372,506,597,187,712,942,246,86,329,415,0
12/06/2020,1750,669,2608,3411,248,114,459,599,554,189,742,950,218,108,370,506,514,206,717,952,216,52,320,404,0
12/07/2020,3309,1018,2681,3516,556,194,473,620,964,269,756,975,452,161,379,519,967,310,753,999,370,84,320,402,0
12/08/2020,3057,919,2669,3493,495,172,461,608,922,220,762,977,453,160,375,511,896,273,760,1006,291,94,310,390,0
12/09/2020,3104,978,2684,3529,532,180,462,616,908,242,777,995,498,146,380,516,848,335,763,1024,318,75,301,379,0
12/10/2020,3148,911,2722,3568,571,155,470,622,947,257,795,1018,461,157,384,519,893,271,781,1042,276,71,292,367,0
12/11/2020,2978,901,2747,3612,499,135,461,613,836,212,805,1030,495,176,398,540,881,311,799,1070,266,67,283,359,0
12/12/2020,2200,591,2792,3648,390,110,470,622,594,160,818,1039,299,89,411,553,699,190,814,1085,218,42,279,349,0
12/13/2020,2175,908,2853,3742,311,147,479,635,645,250,831,1061,295,145,422,570,674,302,837,1121,250,64,284,355,0
