uhf,neighborhood_name,case_rate_7day
101,Kingsbridge - Riverdale,19.73
102,Northeast Bronx,13.89
103,Fordham - Bronx Park,25.13
104,Pelham - Throgs Neck,30.11
105,Crotona - Tremont,11.83
106,High Bridge - Morrisania,18.54
107,Hunts Point - Mott Have,11.46
201,Greenpoint,20.32
202,Downtown - Heights - Park Slope,15.66
203,Bedford Stuyvesant - Crown Heights,14.94
204,East New York,20.04
205,Sunset Park,11.51
206,Borough Park,18.78
207,East Flatbush - Flatbush,16.33
208,Canarsie - Flatlands,17.63
209,Bensonhurst - Bay Ridge,26.79
210,Coney Island - Sheepshead Bay,16.58
211,Williamsburg - Bushwick,18.04
301,Washington Heights - Inwood,16.49
302,Central Harlem - Morningside Heights,17.29
303,East Harlem,23.8
304,Upper West Side,26.13
305,Upper East Side,16.32
306,Chelsea - Clinton,21.26
307,Gramercy Park - Murray,19.12
308,Greenwich Village - SoHo,19.44
309,Union Square - Lower East Side,22.53
310,Lower Manhattan,20.04
401,Long Island City - Astoria,26.62
402,West Queens,28.77
403,Flushing - Clearview,20.05
404,Bayside - Little Neck,26.47
405,Ridgewood - Forest Hill,17
406,Fresh Meadows,21.28
407,Southwest Queens,23.69
408,Jamaica,25.34
409,Southeast Queens,27.09
410,Rockaway,16.03
501,Port Richmond,26.3
502,Stapleton - St. George,14.56
503,Willowbrook,17.29
504,South Beach - Tottenville,18.8
