week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
02/10/2024,59.11,44.31,57.45,64.7,57.85
02/17/2024,44.6,36.75,41.55,48.54,43.7
02/24/2024,34.17,28.89,29.45,36.12,33.83
03/02/2024,29.15,26.58,27.81,28.84,28.24
03/09/2024,21.23,19.29,18.44,21.77,20.98
03/16/2024,16.63,14.27,17.03,18.36,15.17
03/23/2024,14.21,12.64,15.08,13.94,13.39
03/30/2024,12.74,12.88,14.46,10.88,11.67
04/06/2024,11.56,9.96,13.17,9.53,11.19
04/13/2024,11.6,9.9,13.62,9.66,11.03
04/20/2024,11.5,10.15,13.7,10.16,10.09
04/27/2024,10.99,9.18,12.62,10.48,9.02
