date_of_death,CONFIRMED_COUNT,PROBABLE_COUNT
3/11/20,1,
3/12/20,1,
3/14/20,2,
3/15/20,6,
3/16/20,9,1
3/17/20,7,4
3/18/20,21,4
3/19/20,25,2
3/20/20,46,4
3/21/20,41,5
3/22/20,48,4
3/23/20,81,15
3/24/20,92,13
3/25/20,121,19
3/26/20,185,40
3/27/20,205,47
3/28/20,263,64
3/29/20,277,76
3/30/20,306,93
3/31/20,365,97
4/1/20,411,118
4/2/20,445,196
4/3/20,456,191
4/4/20,463,216
4/5/20,520,208
4/6/20,538,254
4/7/20,556,255
4/8/20,502,233
4/9/20,505,227
4/10/20,478,221
4/11/20,479,205
4/12/20,494,224
4/13/20,488,239
4/14/20,453,192
4/15/20,386,144
4/16/20,338,188
4/17/20,308,145
4/18/20,301,168
4/19/20,292,157
4/20/20,275,166
4/21/20,226,156
4/22/20,217,145
4/23/20,201,156
4/24/20,145,176
4/25/20,57,142
4/26/20,7,17
