MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
10001,Chelsea/NoMad/West Chelsea,4,4,3,5,16,16.98,16.98,12.73,21.22,67.9,0,1,4.24,2145,9103.24,0.75
10002,Chinatown/Lower East Side,23,25,8,16,72,29.97,32.57,10.42,20.85,93.8,-50,1,1.3,5934,7731.05,1.21
10003,East Village/Gramercy/Greenwich Village,3,4,2,10,19,5.58,7.43,3.72,18.59,35.31,71,1,1.86,6381,11860.24,0.3
10004,Financial District,0,0,0,1,1,0,0,0,27.39,27.39,,0,0,261,7149.5,0.38
10005,Financial District,0,3,4,1,8,0,35.73,47.64,11.91,95.28,67,0,0,673,8015.62,1.19
10006,Financial District,2,0,0,0,2,57.84,0,0,0,57.84,-100,0,0,262,7577.14,0.76
10007,TriBeCa,1,1,1,0,3,12.12,12.12,12.12,0,36.36,-50,0,0,696,8436.64,0.43
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,9,9,4,9,31,15.32,15.32,6.81,15.32,52.77,-28,0,0,5277,8982.43,0.59
10010,Flatiron/Gramercy/Kips Bay,3,9,8,4,24,9.27,27.8,24.71,12.36,74.14,0,0,0,3313,10234.2,0.72
10011,Chelsea,9,3,5,12,29,18.18,6.06,10.1,24.24,58.59,42,1,2.02,4444,8977.68,0.65
10012,Greenwich Village/SoHo,6,5,6,2,19,25.02,20.85,25.02,8.34,79.23,-27,0,0,2655,11071.17,0.72
10013,Hudson Square/Little Italy/SoHo/TriBeCa,5,5,6,2,18,17.22,17.22,20.67,6.89,62,-20,0,0,2941,10130.52,0.61
10014,Hudson Square/Meatpacking District/West Village,3,2,2,2,9,9.66,6.44,6.44,6.44,28.99,-20,0,0,3142,10121.39,0.29
10016,Kips Bay/Murray Hill/NoMad,9,6,10,12,37,17.13,11.42,19.04,22.85,70.44,47,1,1.9,4695,8938.71,0.79
10017,East Midtown/Murray Hill,6,1,0,2,9,37.2,6.2,0,12.4,55.81,-71,0,0,1200,7440.84,0.75
10018,Hell's Kitchen/Midtown Manhattan,0,4,1,4,9,0,41.97,10.49,41.97,94.42,25,0,0,765,8026.07,1.18
10019,Hell's Kitchen/Midtown Manhattan,4,9,6,6,25,9.84,22.15,14.77,14.77,61.53,-8,1,2.46,3750,9229.3,0.67
10021,Lenox Hill/Upper East Side,5,4,4,4,17,11.32,9.05,9.05,9.05,38.48,-11,1,2.26,4638,10499.01,0.37
10022,East Midtown,5,5,2,5,17,16.48,16.48,6.59,16.48,56.04,-30,1,3.3,2398,7905.11,0.71
10023,Lincoln Square,10,9,8,4,31,16.59,14.93,13.27,6.64,51.43,-37,0,0,4864,8069.71,0.64
10024,Upper West Side,6,7,12,3,28,10.46,12.21,20.93,5.23,48.83,15,1,1.74,5560,9696.94,0.5
10025,Manhattan Valley/Morningside Heights/Upper West Side,18,8,10,14,50,19.49,8.66,10.83,15.16,54.15,-8,2,2.17,9287,10058.11,0.54
10026,Central Harlem (South),4,3,10,11,28,10.25,7.69,25.63,28.19,71.76,200,0,0,2786,7140.29,1.01
10027,Central Harlem (South)/Morningside Heights/West Harlem,18,8,4,10,40,28.29,12.57,6.29,15.72,62.86,-46,0,0,5071,7969.38,0.79
10028,Upper East Side/Yorkville,6,7,5,9,27,12.21,14.24,10.17,18.31,54.93,8,1,2.03,3784,7698.09,0.71
10029,East Harlem,17,21,16,18,72,21.56,26.64,20.29,22.83,91.32,-11,1,1.27,6943,8806.27,1.04
10030,Central Harlem (North),3,7,2,3,15,10.23,23.87,6.82,10.23,51.16,-50,2,6.82,1962,6691.24,0.76
10031,Hamilton Heights/West Harlem,16,9,14,11,50,26.42,14.86,23.12,18.16,82.57,0,2,3.3,4080,6737.46,1.23
10032,Washington Heights (South),9,24,19,14,66,14.64,39.03,30.9,22.77,107.33,0,1,1.63,4448,7233.39,1.48
10033,Washington Heights (North)/Washington Heights (South),13,14,21,12,60,21.96,23.64,35.47,20.27,101.33,22,1,1.69,4046,6833.26,1.48
10034,Inwood/Washington Heights (North),21,14,11,14,60,48.75,32.5,25.54,32.5,139.3,-29,1,2.32,2992,6946.24,2.01
10035,East Harlem,10,6,3,9,28,29.05,17.43,8.71,26.14,81.33,-25,0,0,2849,8275.56,0.98
10036,Hell's Kitchen/Midtown Manhattan,4,0,6,5,15,15.26,0,22.89,19.08,57.23,175,0,0,2379,9076.25,0.63
10037,Central Harlem (North)/East Harlem,5,4,6,7,22,24.21,19.37,29.06,33.9,106.54,44,2,9.69,1446,7002.55,1.52
10038,Chinatown/Financial District,6,2,4,2,14,27.21,9.07,18.14,9.07,63.5,-25,0,0,1596,7238.76,0.88
10039,Central Harlem (North)/Washington Heights (South),6,8,11,9,34,22.68,30.24,41.58,34.02,128.51,43,1,3.78,1906,7204,1.78
10040,Washington Heights (North),20,14,12,11,57,44.63,31.24,26.78,24.55,127.21,-32,1,2.23,3763,8398,1.51
10044,Roosevelt Island,1,0,2,0,3,8.55,0,17.09,0,25.64,100,0,0,1014,8666.45,0.3
10065,Lenox Hill/Upper East Side,4,3,2,6,15,13.76,10.32,6.88,20.65,51.61,14,0,0,2846,9793.03,0.53
