demo_variable,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
AgeA_0-4_years,39534,10918,0.276,7548.719
AgeA_05-12_years,122664,37135,0.303,16408.611
AgeA_13-17_years,112528,39042,0.347,25997.268
AgeB_18-24_years,216482,65099,0.301,30721.011
AgeB_25-34_years,539062,136242,0.253,36332.302
AgeB_35-44_years,474698,132990,0.28,41753.496
AgeC_45-54_years,460517,141850,0.308,44793.583
AgeC_55-64_years,463265,140615,0.304,46376.262
AgeD_65-74_years,313139,88660,0.283,43564.438
AgeE_GE75_years,187187,49193,0.263,33330.425
