modzcta_first,NEIGHBORHOOD_NAME,label,lat,lon,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
10001,Chelsea/NoMad/West Chelsea,"10001, 10118",40.750693,-73.997137,10414,1790,17.2,37713.999
10002,Chinatown/Lower East Side,10002,40.715781,-73.986176,29393,5764,19.6,39022.759
10003,East Village/Gramercy/Greenwich Village,10003,40.731825,-73.989164,18514,2947,15.9,34299.279
10004,Financial District,10004,40.703675,-74.013106,1487,230,15.5,50031.696
10005,Financial District,10005,40.706092,-74.008861,3182,509,16,36335.708
10006,Financial District,10006,40.709651,-74.013044,1401,217,15.5,41427.649
10007,TriBeCa,10007,40.713923,-74.007546,3224,460,14.3,46113.468
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,10009,40.72638,-73.978704,20436,3584,17.5,35757.828
10010,Flatiron/Gramercy/Kips Bay,10010,40.739119,-73.982544,11844,1815,15.3,35511.049
10011,Chelsea,10011,40.741707,-74.000062,19901,3247,16.3,40005.238
10012,Greenwich Village/SoHo,10012,40.725576,-73.998078,8046,1266,15.7,34752.837
10013,Hudson Square/Little Italy/SoHo/TriBeCa,10013,40.720096,-74.004763,13188,2147,16.3,45761.695
10014,Hudson Square/Meatpacking District/West Village,10014,40.73402,-74.006314,12120,1859,15.3,39952.462
10016,Kips Bay/Murray Hill/NoMad,10016,40.745174,-73.978319,20711,3437,16.6,40679.912
10017,East Midtown/Murray Hill,10017,40.752543,-73.973037,6959,990,14.2,44571.068
10018,Hell's Kitchen/Midtown Manhattan,10018,40.755191,-73.992667,5814,943,16.2,49310.688
10019,Hell's Kitchen/Midtown Manhattan,"10019, 10020",40.76528,-73.985974,17864,3144,17.6,41045.527
10021,Lenox Hill/Upper East Side,10021,40.769474,-73.958771,19174,3023,15.8,41795.691
10022,East Midtown,10022,40.758676,-73.968098,13657,2125,15.6,44202.882
10023,Lincoln Square,10023,40.775901,-73.982658,22486,3186,14.2,36395.431
10024,Upper West Side,10024,40.792085,-73.974871,21730,3426,15.8,37201.226
10025,Manhattan Valley/Morningside Heights/Upper West Side,10025,40.798651,-73.966585,31142,5642,18.1,33990.423
10026,Central Harlem (South),10026,40.802341,-73.952521,11821,2671,22.6,30573.373
10027,Central Harlem (South)/Morningside Heights/West Harlem,10027,40.8118,-73.953204,18581,4332,23.3,29310.091
10028,Upper East Side/Yorkville,10028,40.776432,-73.953509,18497,2805,15.2,39047.681
10029,East Harlem,10029,40.791777,-73.943969,21662,5579,25.8,27691.976
10030,Central Harlem (North),10030,40.818326,-73.942842,8096,2170,26.8,27659.843
10031,Hamilton Heights/West Harlem,10031,40.825278,-73.950037,22072,7261,32.9,37395.256
10032,Washington Heights (South),10032,40.838768,-73.942824,24110,8435,35,38238.815
10033,Washington Heights (North)/Washington Heights (South),10033,40.850497,-73.934007,24121,8483,35.2,41219.929
10034,Inwood/Washington Heights (North),10034,40.867168,-73.924048,16621,5630,33.9,39347.241
10035,East Harlem,10035,40.791,-73.924596,10087,2867,28.4,28623.701
10036,Hell's Kitchen/Midtown Manhattan,10036,40.75916,-73.989705,11669,2380,20.4,42834.352
10037,Central Harlem (North)/East Harlem,10037,40.812957,-73.937419,6556,1676,25.6,31529.285
10038,Chinatown/Financial District,10038,40.709696,-74.002391,7856,1292,16.4,34358.827
10039,Central Harlem (North)/Washington Heights (South),10039,40.830807,-73.936247,7853,2207,28.1,28891.752
10040,Washington Heights (North),10040,40.85831,-73.93049,18092,6411,35.4,41149.678
10044,Roosevelt Island,10044,40.761931,-73.949924,3312,609,18.4,28375.98
10065,Lenox Hill/Upper East Side,10065,40.764616,-73.963135,12307,1795,14.6,44112.533
10069,Lincoln Square,10069,40.775924,-73.990256,2387,342,14.3,37981.946
10075,Lenox Hill/Upper East Side,"10075, 10162",40.773132,-73.955884,10600,1715,16.2,45997.959
10128,Upper East Side/Yorkville,10128,40.781466,-73.950226,23402,3527,15.1,39963.25
10280,Battery Park City,10280,40.709318,-74.016654,2698,360,13.3,28867.3
10282,Battery Park City,10282,40.716409,-74.015077,1721,244,14.2,30886.889
10301,Silver Lake/St. George,10301,40.628224,-74.096232,10859,2667,24.6,27911.607
10302,Elm Park,10302,40.630598,-74.137891,4269,1191,27.9,23094.439
10303,Graniteville/Mariner's Harbor/Port Ivory,10303,40.632135,-74.169166,5834,1566,26.8,22004.639
10304,New Dorp/Todt Hill,10304,40.605985,-74.0943,12734,3139,24.7,30400.937
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,10305,40.595474,-74.075437,13512,3109,23,31528.703
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,40.571571,-74.125541,19240,4247,22.1,36434.693
