AGE_GROUP,CONFIRMED_CASE_RATE,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CONFIRMED_CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
0-4,3634.02,4948.08,145.69,,19032,6882,25914,763,
5-12,5584.71,7415.2,62.2,,41749,13684,55433,465,
13-17,7261.71,9594.19,127.76,,31432,10096,41528,553,
0-17,,,,1.7,,,,,29
18-24,10766.59,13799.63,372.51,7.66,75869,21373,97242,2625,54
25-34,10252.35,12940.56,518.7,20.08,152114,39885,191999,7696,298
35-44,11073.39,13548.7,828.3,69.93,125894,28142,154036,9417,795
45-54,11582.97,13712.26,1353.48,202.8,119083,21891,140974,13915,2085
55-64,11341.97,13080.54,2243.91,511.85,113298,17367,130665,22415,5113
65-74,9681.48,10831.04,3355.89,1119.23,69590,8263,77853,24122,8045
75+,9920.41,10964.73,5619.74,3048.38,55714,5865,61579,31561,17120
Citywide,173533,11731.18,1362.02,402.37,804474,9649.6540586,978007,113549,33545
