MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
10001,Chelsea/NoMad/West Chelsea,Manhattan,"10001, 10118",40.750693,-73.997137,9008,2060,11068,32622.21,40082.44,27613.09,65,235.4
10002,Chinatown/Lower East Side,Manhattan,10002,40.715781,-73.986176,23263,4392,27655,30884.44,36715.35,75322.71,469,622.65
10003,East Village/Gramercy/Greenwich Village,Manhattan,10003,40.731825,-73.989164,16451,2986,19437,30477.34,36009.24,53977.81,108,200.08
10004,Financial District,Manhattan,10004,40.703675,-74.013106,1056,266,1322,35530.24,44480.1,2972.12,3,100.94
10005,Financial District,Manhattan,10005,40.706092,-74.008861,2377,839,3216,27143.3,36723.96,8757.23,1,11.42
10006,Financial District,Manhattan,10006,40.709651,-74.013044,1104,377,1481,32645.34,43793.25,3381.8,2,59.14
10007,TriBeCa,Manhattan,10007,40.713923,-74.007546,1965,590,2555,28105.76,36544.64,6991.45,8,114.43
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,10009,40.72638,-73.978704,18289,3666,21955,32001.12,38415.69,57151.12,210,367.45
10010,Flatiron/Gramercy/Kips Bay,Manhattan,10010,40.739119,-73.982544,9627,2830,12457,28863.97,37348.96,33353,73,218.87
10011,Chelsea,Manhattan,10011,40.741707,-74.000062,15641,2948,18589,31441.73,37367.84,49745.99,116,233.18
10012,Greenwich Village/SoHo,Manhattan,10012,40.725576,-73.998078,6201,1620,7821,26783.79,33781,23152.07,37,159.81
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,10013,40.720096,-74.004763,9080,1688,10768,31507.14,37364.42,28818.86,76,263.72
10014,Hudson Square/Meatpacking District/West Village,Manhattan,10014,40.73402,-74.006314,7675,2048,9723,25299.93,32050.97,30336.05,52,171.41
10016,Kips Bay/Murray Hill/NoMad,Manhattan,10016,40.745174,-73.978319,17200,3624,20824,33783.71,40901.86,50912.11,111,218.02
10017,East Midtown/Murray Hill,Manhattan,10017,40.752543,-73.973037,5552,1199,6751,35559.5,43238.87,15613.27,50,320.24
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,10018,40.755191,-73.992667,4230,910,5140,35876.2,43594.24,11790.55,14,118.74
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,"10019, 10020",40.76528,-73.985974,15819,3327,19146,36346.8,43991.14,43522.4,119,273.42
10021,Lenox Hill/Upper East Side,Manhattan,10021,40.769474,-73.958771,11002,2178,13180,23982.28,28729.91,45875.54,135,294.27
10022,East Midtown,Manhattan,10022,40.758676,-73.968098,8740,1906,10646,28288.29,34457.34,30896.18,90,291.3
10023,Lincoln Square,Manhattan,10023,40.775901,-73.982658,17767,2832,20599,28757.34,33341.17,61782.48,158,255.74
10024,Upper West Side,Manhattan,10024,40.792085,-73.974871,15218,2816,18034,26052.84,30873.76,58412.05,176,301.31
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,10025,40.798651,-73.966585,27819,4575,32394,30363.48,35356.94,91619.93,471,514.08
10026,Central Harlem (South),Manhattan,10026,40.802341,-73.952521,11819,1937,13756,30568.2,35577.98,38664.36,148,382.78
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,10027,40.8118,-73.953204,18276,3550,21826,28828.98,34428.83,63394.55,241,380.16
10028,Upper East Side/Yorkville,Manhattan,10028,40.776432,-73.953509,12397,3070,15467,26170.41,32651.27,47370.29,105,221.66
10029,East Harlem,Manhattan,10029,40.791777,-73.943969,26133,4360,30493,33407.55,38981.23,78224.82,480,613.62
10030,Central Harlem (North),Manhattan,10030,40.818326,-73.942842,8505,1442,9947,29057.18,33983.75,29269.87,128,437.31
10031,Hamilton Heights/West Harlem,Manhattan,10031,40.825278,-73.950037,16297,3861,20158,27611.02,34152.48,59023.53,272,460.83
10032,Washington Heights (South),Manhattan,10032,40.838768,-73.942824,16771,3084,19855,26599.05,31490.32,63051.12,328,520.21
10033,Washington Heights (North)/Washington Heights (South),Manhattan,10033,40.850497,-73.934007,15656,3379,19035,26754.25,32528.56,58517.81,230,393.04
10034,Inwood/Washington Heights (North),Manhattan,10034,40.867168,-73.924048,11293,2579,13872,26734.15,32839.48,42241.84,163,385.87
10035,East Harlem,Manhattan,10035,40.791,-73.924596,11425,2206,13631,32420.52,38680.45,35240.03,283,803.06
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,10036,40.75916,-73.989705,13501,2942,16443,49559.22,60358.66,27242.15,92,337.71
10037,Central Harlem (North)/East Harlem,Manhattan,10037,40.812957,-73.937419,6801,893,7694,32707.55,37002.18,20793.37,145,697.34
10038,Chinatown/Financial District,Manhattan,10038,40.709696,-74.002391,5899,1831,7730,25799.74,33807.76,22864.58,81,354.26
10039,Central Harlem (North)/Washington Heights (South),Manhattan,10039,40.830807,-73.936247,7496,1487,8983,27578.32,33049.1,27180.77,136,500.35
10040,Washington Heights (North),Manhattan,10040,40.85831,-73.93049,12432,2678,15110,28276.19,34367.21,43966.32,288,655.05
10044,Roosevelt Island,Manhattan,10044,40.761931,-73.949924,2935,581,3516,25145.99,30123.78,11671.84,63,539.76
10065,Lenox Hill/Upper East Side,Manhattan,10065,40.764616,-73.963135,9395,1750,11145,33674.92,39947.52,27899.1,69,247.32
10069,Lincoln Square,Manhattan,10069,40.775924,-73.990256,2296,405,2701,36533.95,42978.31,6284.56,5,79.56
10075,Lenox Hill/Upper East Side,Manhattan,"10075, 10162",40.773132,-73.955884,6831,1578,8409,29642.65,36490.27,23044.5,103,446.96
10128,Upper East Side/Yorkville,Manhattan,10128,40.781466,-73.950226,16410,4139,20549,28023.11,35091.22,58558.8,143,244.2
10280,Battery Park City,Manhattan,10280,40.709318,-74.016654,1837,538,2375,19655.01,25411.36,9346.22,10,107
10282,Battery Park City,Manhattan,10282,40.716409,-74.015077,1151,244,1395,20657.07,25036.15,5571.94,3,53.84
10301,Silver Lake/St. George,Staten Island,10301,40.628224,-74.096232,14248,2533,16781,36622.58,43133.32,38904.96,272,699.14
10302,Elm Park,Staten Island,10302,40.630598,-74.137891,7359,1762,9121,39810.72,49342.79,18484.97,90,486.88
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,10303,40.632135,-74.169166,10282,2302,12584,38781.57,47464.24,26512.59,120,452.62
10304,New Dorp/Todt Hill,Staten Island,10304,40.605985,-74.0943,16466,2480,18946,39310.65,45231.36,41886.87,382,911.98
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,10305,40.595474,-74.075437,17240,2516,19756,40227.56,46098.36,42856.19,212,494.68
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,10306,40.571571,-74.125541,23231,5243,28474,43992.43,53921.07,52806.81,375,710.14
