group,subgroup,BK_CONFIRMED_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CONFIRMED_CASE_RATE,BK_CASE_RATE,BK_HOSPITALIZED_RATE,BK_DEATH_RATE,BX_CONFIRMED_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,BX_CONFIRMED_CASE_RATE,BX_CASE_RATE,BX_HOSPITALIZED_RATE,BX_DEATH_RATE,MN_CONFIRMED_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,MN_CONFIRMED_CASE_RATE,MN_CASE_RATE,MN_HOSPITALIZED_RATE,MN_DEATH_RATE,QN_CONFIRMED_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,QN_CONFIRMED_CASE_RATE,QN_CASE_RATE,QN_HOSPITALIZED_RATE,QN_DEATH_RATE,SI_CONFIRMED_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT,SI_CONFIRMED_CASE_RATE,SI_CASE_RATE,SI_HOSPITALIZED_RATE,SI_DEATH_RATE
Boroughwide,Boroughwide,682805,114353,797158,52006,13064,26673.08,31140.16,2031.56,510.33,372232,78313,450545,36499,7836,26246.66,31768.63,2573.6,552.53,409940,76936,486876,24962,5569,25169.67,29893.42,1532.63,341.93,624266,109886,734152,47495,12040,27697.66,32573.13,2107.28,534.2,162186,26224,188410,9857,2383,34062.46,39570.05,2070.18,500.48
Age,0-4,25937,4956,30893,929,,14178.96,16888.25,507.86,,14299,3329,17628,688,,14270.6,17592.99,686.63,,12269,1964,14233,345,,16112.89,18692.21,453.09,,21288,4397,25685,534,,15527.92,18735.18,389.51,,5401,1102,6503,106,,19744.83,23773.49,387.51,
Age,5-12,57308,10138,67446,491,,22743.49,26766.9,194.86,,33750,8396,42146,432,,21814.89,27241.78,279.23,,21955,4064,26019,182,,22132.35,26229.18,183.47,,46379,9030,55409,285,,23672.56,28281.62,145.47,,13869,2479,16348,55,,30311.48,35729.48,120.21,
Age,13-17,34281,6671,40952,440,,24458.16,29217.66,313.92,,20495,5451,25946,366,,22250.43,28168.32,397.35,,14206,2795,17001,175,,25406.39,30405.04,312.97,,29351,6143,35494,283,,25568.85,30920.26,246.53,,9644,1853,11497,79,,32290.89,38495.27,264.51,
Age,0-17,,,,,14,,,,2.43,,,,,8,,,,2.31,,,,,4,,,,1.73,,,,,8,,,,1.79,,,,,2,,,,1.94
Age,18-24,64382,12495,76877,1653,28,30978.53,36990.72,795.37,13.47,35318,9320,44638,1372,12,25345.98,32034.49,984.62,8.61,51780,10722,62502,595,5,35551.16,42912.69,408.52,3.43,55801,11836,67637,1135,18,32408.87,39283.14,659.2,10.45,16339,3117,19456,234,8,41185.16,49042.07,589.84,20.17
Age,25-34,147202,27992,175194,4233,117,31316.84,37272.07,900.56,24.89,67861,15282,83143,3284,91,29844.36,36565.18,1444.26,40.02,109118,23336,132454,1866,47,30153.17,36601.74,515.64,12.99,119836,23355,143191,3717,111,33317.67,39811,1033.43,30.86,27650,4672,32322,566,15,42723.16,49942.06,874.55,23.18
Age,35-44,111389,18750,130139,4309,278,31115.46,36353.1,1203.68,77.66,58995,12286,71281,3536,237,32885.72,39734.33,1971.08,132.11,63234,11631,74865,1971,100,27004.96,31972.14,841.74,42.71,103709,18016,121725,4285,308,33870.25,39754.08,1399.44,100.59,24740,3867,28607,754,46,41808.9,48343.87,1274.21,77.74
Age,45-54,85329,13078,98407,5457,781,28889.24,33316.97,1847.54,264.42,52445,9882,62327,4699,593,30181.57,35868.56,2704.23,341.27,48010,8491,56501,2526,249,24547.12,28888.5,1291.52,127.31,91324,15028,106352,5819,731,30522.63,35545.34,1944.85,244.32,24115,3564,27679,1210,130,37578.69,43132.52,1885.56,202.58
Age,55-64,74173,10237,84410,8833,1837,25958.67,29541.36,3091.33,642.9,46755,8133,54888,7009,1344,28766.11,33769.96,4312.3,826.9,41686,6972,48658,4236,621,22648.17,26436.09,2301.44,337.39,80139,12256,92395,9172,1938,26671.39,30750.36,3052.57,644.99,21100,3011,24111,1839,277,31906.85,36460,2780.89,418.87
