week_ending,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,incomplete
04/11/2020,1143,700,0.612,
04/18/2020,3815,1671,0.438,
04/25/2020,33223,10922,0.329,
05/02/2020,92043,29754,0.323,
05/09/2020,109767,37592,0.342,
05/16/2020,145013,49790,0.343,
05/23/2020,189380,62453,0.33,
05/30/2020,137161,40845,0.298,
06/06/2020,131136,36803,0.281,
06/13/2020,138360,35027,0.253,
06/20/2020,135512,31516,0.233,
06/27/2020,129245,27732,0.215,
07/04/2020,114098,22967,0.201,
07/11/2020,118690,23345,0.197,
07/18/2020,118026,24068,0.204,
07/25/2020,100577,20859,0.207,
08/01/2020,92964,19682,0.212,
08/08/2020,85334,17546,0.206,
08/15/2020,88541,17197,0.194,
08/22/2020,83897,16939,0.202,
08/29/2020,77478,15590,0.201,
09/05/2020,77827,15759,0.202,
09/12/2020,61260,12095,0.197,
09/19/2020,70373,14262,0.203,
09/26/2020,64582,13038,0.202,
10/03/2020,62334,13552,0.217,
10/10/2020,64400,12938,0.201,
10/17/2020,59629,13197,0.221,
10/24/2020,58559,12976,0.222,
10/31/2020,53384,11566,0.217,
11/07/2020,51426,10948,0.213,
11/14/2020,54328,11736,0.216,
11/21/2020,60525,13249,0.219,
11/28/2020,47219,10523,0.223,
12/05/2020,59532,13855,0.233,
12/12/2020,62807,15054,0.24,
12/19/2020,49799,12174,0.244,
12/26/2020,43883,11567,0.264,
01/02/2021,42407,11595,0.273,
01/09/2021,61210,17660,0.289,
01/16/2021,61954,18248,0.295,
01/23/2021,58290,18867,0.324,
01/30/2021,58008,19737,0.34,
02/06/2021,41415,16058,0.388,
02/13/2021,51652,19882,0.385,
02/20/2021,45594,17251,0.378,
02/27/2021,53004,21560,0.407,
03/06/2021,51019,21554,0.422,
03/13/2021,46793,20214,0.432,
03/20/2021,40469,17975,0.444,
03/27/2021,37998,17679,0.465,
04/03/2021,34380,17446,0.507,
04/10/2021,32211,17868,0.555,
04/17/2021,29607,17095,0.577,
04/24/2021,28368,17412,0.614,
05/01/2021,27503,17486,0.636,
05/08/2021,26929,17592,0.653,
05/15/2021,24239,16022,0.661,
05/22/2021,22715,15306,0.674,186000
05/29/2021,21085,13753,0.652,186000
