date,Admit_0_4,Admit_5_12,Admit_13_17,Admit_18_24,Admit_25_34,Admit_35_44,Admit_45_54,Admit_55_64,Admit_65_74,Admit_75_,Admit_All_ages,Visit_0_4,Visit_5_12,Visit_13_17,Visit_18_24,Visit_25_34,Visit_35_44,Visit_45_54,Visit_55_64,Visit_65_74,Visit_75_,Visit_All_ages
2025-05-06,1.4946566026,0.5310729489,0.4561114615,0.2764070693,0.3334889615,0.261594067,0.4734610858,1.200006,2.1455605491,6.0331825038,1.0596817526,24.848666019,9.2937766066,4.7891703455,4.422513108,4.0018675382,4.011109028,3.6929964689,4.0000200001,5.7214947977,9.5068330362,6.3461839789
2025-05-07,0.560496226,0.5310729489,0.2280557307,0.1382035346,0.6002801307,0.261594067,0.8522299544,1.3000065,2.8607473989,6.3988299282,1.1668405815,26.530154697,10.621458979,5.9294489992,4.422513108,4.0685653305,3.5751189163,3.124843166,4.2000210001,5.8645321677,9.6896567485,6.5605016367
2025-05-08,0.9341603767,0.5310729489,0,0,0.3334889615,0.6103861564,0.5681533029,1.400007,2.574672659,6.3988299282,1.1192144353,27.464315074,8.0988624714,5.7013932685,2.0730530194,2.868005069,3.2263268269,2.8407665146,4.6000230001,7.580980607,9.6896567485,6.0723336383
2025-05-09,0.7473283013,0.3983047117,0.4561114615,0.2764070693,0.0666977923,0.5231881341,0.3787688686,1.200006,2.7177100289,5.1190639426,0.9644294602,21.485688663,9.4265448438,6.15750473,4.422513108,2.868005069,2.7903367152,3.2195353832,4.6000230001,5.2923826879,9.5068330362,5.8222963708
2025-05-10,1.3078245273,0.6638411862,0.2280557307,0.1382035346,0.2000933769,0.5231881341,0.0946922172,0.800004,2.7177100289,4.3877690937,0.8929902409,25.969658471,9.0282401321,2.7366687689,4.1461060388,2.6679116921,2.7903367152,2.6513820803,3.1000155001,4.5771958382,7.4957722017,5.3936610552
2025-05-11,1.8683207533,0.3983047117,0.2280557307,0.1382035346,0.0666977923,0.1743960447,0.6628455201,1.5000075,2.7177100289,5.6675350793,1.0715882891,28.0248113,7.5677895225,3.8769474226,2.7640706925,2.6012138998,1.9183564917,2.5566898631,4.1000205001,5.006307948,8.2270670506,5.3936610552
2025-05-12,0.7473283013,0.9293776607,0.2280557307,0.4146106039,0.6002801307,0.3487920894,0.7575377372,1.800009,2.431635289,6.216006216,1.2501863373,35.871758463,15.135579045,5.245281807,4.8371237119,4.1352631228,4.6214951845,3.5036120346,6.2000310002,4.8632705781,11.517893871,8.0369121683
2025-05-13,1.120992452,0.7966094234,0.4561114615,0.5528141385,0.4668845461,0.5231881341,0.2840766515,1.1000055,2.0025231792,5.3018876548,1.047775216,27.651147149,14.338969622,8.2100063066,5.528141385,4.2686587074,4.011109028,3.3142276003,4.4000220001,6.0075695376,8.9583618995,7.286800366
2025-05-14,1.681488678,0.7966094234,0,0.1382035346,0.2000933769,0.5231881341,0.6628455201,0.9000045,1.7164484393,5.3018876548,0.9763359967,28.211643375,11.949141351,4.5611146148,3.8696989695,3.6683785767,4.2727030951,3.5983042518,4.1000205001,4.8632705781,8.0442433384,6.5485951001
2025-05-15,1.4946566026,0.3983047117,0,0.2764070693,0.2000933769,0.5231881341,0.4734610858,1.5000075,3.0037847688,6.3988299282,1.1668405815,34.377101861,11.418068402,6.15750473,4.2843095734,3.6016807844,3.0519307822,2.461997646,4.1000205001,7.580980607,10.60377531,7.0843892447
2025-05-16,1.8683207533,0.2655364745,0.2280557307,0,0.2667911692,0.1743960447,0.4734610858,1.1000055,1.8594858093,4.5705928059,0.8691771678,25.969658471,10.355922504,3.4208359611,3.7314954349,3.2014940305,2.7031386928,3.0301509489,4.6000230001,6.0075695376,10.420951597,6.131866321
2025-05-17,2.241984904,0.3983047117,0,0.4146106039,0.1333955846,0.261594067,0.5681533029,1.000005,1.8594858093,4.9362402304,0.9406163871,26.156490546,8.7627036576,3.6488916918,4.2843095734,2.8013072767,2.0927525364,3.9770731204,4.6000230001,7.7240179769,8.4098907628,6.0366140287
2025-05-18,1.4946566026,0.6638411862,0.2280557307,0.1382035346,0.2000933769,0.261594067,0.8522299544,0.9000045,2.431635289,4.3877690937,0.9525229237,33.62977356,11.55083664,5.7013932685,3.5932919003,2.9347028613,3.6623169387,4.355841989,4.0000200001,5.4354200578,8.2270670506,6.8224454407
2025-05-19,1.681488678,0.7966094234,0,0.2764070693,0.1333955846,0.3487920894,0.4734610858,1.200006,2.574672659,6.3988299282,1.1073078987,32.695613183,12.612982537,8.8941734989,4.5607166426,3.735076369,4.0983070504,2.7460742974,3.5000175001,5.7214947977,10.055304173,7.1915480736
