date_of_interest,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,BX_DEATH_COUNT,BX_DEATH_COUNT_7DAY_AVG,BK_DEATH_COUNT,BK_DEATH_COUNT_7DAY_AVG,MN_DEATH_COUNT,MN_DEATH_COUNT_7DAY_AVG,QN_DEATH_COUNT,QN_DEATH_COUNT_7DAY_AVG,SI_DEATH_COUNT,SI_DEATH_COUNT_7DAY_AVG,INCOMPLETE
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/11/2020,1,0,0,0,0,0,0,0,1,0,0,0,
03/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,
03/14/2020,3,1,0,0,1,0,1,0,1,0,0,0,
03/15/2020,4,1,1,0,0,0,2,0,1,0,0,0,
03/16/2020,9,2,3,1,2,0,0,0,4,1,0,0,
03/17/2020,12,4,1,1,7,1,0,0,3,1,1,0,
03/18/2020,24,7,2,1,8,3,5,1,9,3,0,0,
03/19/2020,27,11,7,2,6,3,4,2,6,3,4,1,
03/20/2020,49,18,13,4,10,5,12,3,10,5,4,1,
03/21/2020,51,25,14,6,14,7,6,4,14,7,3,2,
03/22/2020,52,32,12,7,10,8,9,5,14,9,7,3,
03/23/2020,96,44,14,9,28,12,10,7,36,13,8,4,
03/24/2020,107,58,14,11,28,15,19,9,40,18,6,5,
03/25/2020,143,75,35,16,44,20,24,12,36,22,4,5,
03/26/2020,229,104,45,21,60,28,33,16,79,33,12,6,
03/27/2020,262,134,47,26,87,39,47,21,74,42,7,7,
03/28/2020,323,173,74,34,92,50,34,25,109,55,14,8,
03/29/2020,356,217,65,42,110,64,46,30,115,70,20,10,
03/30/2020,414,262,94,53,133,79,52,36,125,83,10,10,
03/31/2020,476,315,117,68,156,97,54,41,126,95,23,13,
04/01/2020,556,374,112,79,169,115,74,49,182,116,19,15,
04/02/2020,676,438,142,93,222,138,76,55,200,133,36,18,
04/03/2020,676,497,151,108,209,156,73,58,210,152,33,22,
04/04/2020,715,553,150,119,233,176,89,66,220,168,23,23,
04/05/2020,758,610,158,132,224,192,109,75,239,186,28,25,
04/06/2020,816,668,154,141,261,211,102,82,267,206,32,28,
04/07/2020,831,718,161,147,264,226,122,92,248,224,36,30,
04/08/2020,782,751,152,153,250,238,90,94,247,233,43,33,
04/09/2020,767,764,147,153,262,243,95,97,229,237,34,33,
04/10/2020,743,773,159,154,242,248,95,100,223,239,24,31,
04/11/2020,730,775,173,158,219,246,80,99,225,240,33,33,
04/12/2020,754,775,147,156,267,252,88,96,219,237,33,34,
04/13/2020,768,768,156,156,249,250,88,94,242,233,33,34,
04/14/2020,659,743,150,155,200,241,79,88,202,227,28,33,
04/15/2020,578,714,128,151,164,229,78,86,177,217,31,31,
04/16/2020,555,684,121,148,169,216,69,82,179,210,17,28,
04/17/2020,489,648,111,141,157,204,51,76,151,199,19,28,
04/18/2020,513,617,86,128,152,194,72,75,178,193,25,27,
04/19/2020,494,579,102,122,141,176,67,72,157,184,27,26,
04/20/2020,465,536,101,114,126,158,62,68,154,171,22,24,
04/21/2020,426,503,90,106,123,147,60,66,137,162,16,22,
04/22/2020,399,477,86,100,130,143,55,62,110,152,18,21,
04/23/2020,415,457,74,93,131,137,57,61,136,146,17,21,
04/24/2020,380,442,77,88,113,131,56,61,117,141,17,20,
04/25/2020,325,415,63,85,100,123,46,58,105,131,11,18,
04/26/2020,300,387,65,79,82,115,47,55,96,122,10,16,
04/27/2020,322,367,65,74,104,112,35,51,106,115,12,14,
04/28/2020,267,344,67,71,69,104,40,48,81,107,10,14,
04/29/2020,274,326,47,65,84,98,37,45,90,104,16,13,
04/30/2020,253,303,51,62,77,90,38,43,75,96,12,13,
05/01/2020,256,285,52,59,71,84,30,39,89,92,14,12,
05/02/2020,224,271,56,58,59,78,27,36,69,87,13,12,
05/03/2020,210,258,33,53,57,74,38,35,66,82,16,13,
05/04/2020,195,240,41,50,53,67,30,34,59,76,12,13,
05/05/2020,169,226,28,44,57,65,20,31,52,71,12,14,
05/06/2020,182,213,38,43,53,61,20,29,63,68,8,12,
05/07/2020,159,199,32,40,54,58,25,27,42,63,6,12,
05/08/2020,155,185,29,37,48,54,18,25,55,58,5,10,
05/09/2020,110,169,21,32,35,51,18,24,33,53,3,9,
05/10/2020,114,155,16,29,31,47,21,22,38,49,8,8,
05/11/2020,120,144,31,28,40,45,17,20,28,44,4,7,
05/12/2020,108,135,23,27,39,43,17,19,23,40,6,6,
05/13/2020,92,123,18,24,26,39,10,18,32,36,6,5,
05/14/2020,86,112,12,21,18,34,22,18,26,34,8,6,
05/15/2020,98,104,16,20,32,32,16,17,28,30,6,6,
05/16/2020,100,103,27,20,33,31,12,16,26,29,2,6,
05/17/2020,89,99,21,21,24,30,12,15,30,28,2,5,
05/18/2020,67,91,11,18,20,27,9,14,25,27,2,5,
05/19/2020,64,85,14,17,21,25,10,13,14,26,5,4,
05/20/2020,84,84,15,17,22,24,13,13,27,25,7,5,
05/21/2020,51,79,14,17,19,24,6,11,9,23,3,4,
05/22/2020,79,76,15,17,23,23,6,10,29,23,6,4,
05/23/2020,64,71,17,15,22,22,8,9,15,21,2,4,
05/24/2020,54,66,13,14,14,20,7,8,15,19,5,4,
05/25/2020,53,64,10,14,14,19,13,9,14,18,2,4,
05/26/2020,42,61,12,14,12,18,8,9,9,17,1,4,
05/27/2020,51,56,9,13,12,17,10,8,18,16,2,3,
05/28/2020,41,55,12,13,15,16,3,8,10,16,1,3,
05/29/2020,51,51,9,12,18,15,6,8,14,14,4,2,
05/30/2020,56,50,14,11,10,14,14,9,17,14,1,2,
05/31/2020,42,48,7,10,12,13,5,8,16,14,2,2,
06/01/2020,39,46,6,10,10,13,4,7,16,14,3,2,
06/02/2020,45,46,8,9,9,12,8,7,18,16,2,2,
06/03/2020,45,46,11,10,16,13,7,7,9,14,2,2,
06/04/2020,38,45,5,9,12,12,8,7,10,14,3,2,
06/05/2020,31,42,9,9,9,11,7,8,5,13,1,2,
06/06/2020,36,39,12,8,12,11,1,6,11,12,0,2,
06/07/2020,29,38,8,8,7,11,1,5,12,12,1,2,
06/08/2020,44,38,10,9,16,12,3,5,15,11,0,1,
06/09/2020,33,37,7,9,7,11,7,5,10,10,2,1,
06/10/2020,39,36,12,9,14,11,1,4,10,10,2,1,
06/11/2020,26,34,6,9,8,10,3,3,8,10,1,1,
06/12/2020,26,33,6,9,6,10,4,3,10,11,0,1,
06/13/2020,17,31,6,8,5,9,3,3,2,10,1,1,
06/14/2020,22,30,7,8,6,9,2,3,5,9,2,1,
06/15/2020,20,26,6,7,4,7,3,3,5,7,2,1,
06/16/2020,19,24,2,6,6,7,2,3,9,7,0,1,
06/17/2020,21,22,2,5,7,6,3,3,9,7,0,1,
06/18/2020,16,20,1,4,5,6,4,3,5,6,1,1,
06/19/2020,16,19,3,4,3,5,4,3,4,6,2,1,
06/20/2020,17,19,4,4,3,5,2,3,6,6,2,1,
06/21/2020,22,19,5,3,6,5,3,3,7,6,1,1,
06/22/2020,18,18,2,3,5,5,1,3,8,7,2,1,
06/23/2020,19,18,5,3,4,5,6,3,4,6,0,1,
06/24/2020,18,18,2,3,6,5,2,3,7,6,1,1,
06/25/2020,16,18,4,4,4,4,2,3,5,6,1,1,
06/26/2020,18,18,3,4,4,5,6,3,4,6,1,1,
06/27/2020,17,18,3,3,9,5,2,3,1,5,2,1,
06/28/2020,12,17,3,3,2,5,3,3,4,5,0,1,
06/29/2020,19,17,3,3,6,5,1,3,6,4,3,1,
06/30/2020,11,16,2,3,2,5,2,3,5,5,0,1,
07/01/2020,10,15,1,3,4,4,1,2,3,4,1,1,
07/02/2020,18,15,1,2,4,4,8,3,2,4,3,1,
07/03/2020,12,14,5,3,4,4,0,2,3,3,0,1,
07/04/2020,6,13,1,2,3,4,1,2,0,3,1,1,
07/05/2020,9,12,4,2,2,4,2,2,1,3,0,1,
07/06/2020,11,11,4,3,4,3,1,2,2,2,0,1,
07/07/2020,7,10,1,2,2,3,2,2,2,2,0,1,
07/08/2020,16,11,5,3,3,3,2,2,4,2,2,1,
07/09/2020,5,9,1,3,4,3,0,1,0,2,0,0,
07/10/2020,5,8,3,3,1,3,0,1,1,1,0,0,
07/11/2020,9,9,1,3,2,3,2,1,4,2,0,0,
07/12/2020,7,9,1,2,3,3,0,1,3,2,0,0,
07/13/2020,15,9,5,2,2,2,3,1,4,3,1,0,
07/14/2020,10,10,2,3,4,3,1,1,3,3,0,0,
