week_ending,TESTRATE_CITY,TESTRATE_BX,TESTRATE_BK,TESTRATE_MN,TESTRATE_QN,TESTRATE_SI,TESTRATE_10001,TESTRATE_10002,TESTRATE_10003,TESTRATE_10004,TESTRATE_10005,TESTRATE_10006,TESTRATE_10007,TESTRATE_10009,TESTRATE_10010,TESTRATE_10011,TESTRATE_10012,TESTRATE_10013,TESTRATE_10014,TESTRATE_10016,TESTRATE_10017,TESTRATE_10018,TESTRATE_10019,TESTRATE_10021,TESTRATE_10022,TESTRATE_10023,TESTRATE_10024,TESTRATE_10025,TESTRATE_10026,TESTRATE_10027,TESTRATE_10028,TESTRATE_10029,TESTRATE_10030,TESTRATE_10031,TESTRATE_10032,TESTRATE_10033,TESTRATE_10034,TESTRATE_10035,TESTRATE_10036,TESTRATE_10037,TESTRATE_10038,TESTRATE_10039,TESTRATE_10040,TESTRATE_10044,TESTRATE_10065,TESTRATE_10069,TESTRATE_10075,TESTRATE_10128,TESTRATE_10280,TESTRATE_10282,TESTRATE_10301,TESTRATE_10302,TESTRATE_10303,TESTRATE_10304,TESTRATE_10305,TESTRATE_10306,TESTRATE_10307,TESTRATE_10308,TESTRATE_10309,TESTRATE_10310,TESTRATE_10312,TESTRATE_10314,TESTRATE_10451,TESTRATE_10452,TESTRATE_10453,TESTRATE_10454,TESTRATE_10455,TESTRATE_10456,TESTRATE_10457,TESTRATE_10458,TESTRATE_10459,TESTRATE_10460,TESTRATE_10461,TESTRATE_10462,TESTRATE_10463,TESTRATE_10464,TESTRATE_10465,TESTRATE_10466,TESTRATE_10467,TESTRATE_10468,TESTRATE_10469,TESTRATE_10470,TESTRATE_10471,TESTRATE_10472,TESTRATE_10473,TESTRATE_10474,TESTRATE_10475,TESTRATE_11004,TESTRATE_11101,TESTRATE_11102,TESTRATE_11103,TESTRATE_11104,TESTRATE_11105,TESTRATE_11106,TESTRATE_11109,TESTRATE_11201,TESTRATE_11203,TESTRATE_11204,TESTRATE_11205,TESTRATE_11206,TESTRATE_11207,TESTRATE_11208,TESTRATE_11209,TESTRATE_11210,TESTRATE_11211,TESTRATE_11212,TESTRATE_11213,TESTRATE_11214,TESTRATE_11215,TESTRATE_11216,TESTRATE_11217,TESTRATE_11218,TESTRATE_11219,TESTRATE_11220,TESTRATE_11221,TESTRATE_11222,TESTRATE_11223,TESTRATE_11224,TESTRATE_11225,TESTRATE_11226,TESTRATE_11228,TESTRATE_11229,TESTRATE_11230,TESTRATE_11231,TESTRATE_11232,TESTRATE_11233,TESTRATE_11234,TESTRATE_11235,TESTRATE_11236,TESTRATE_11237,TESTRATE_11238,TESTRATE_11239,TESTRATE_11354,TESTRATE_11355,TESTRATE_11356,TESTRATE_11357,TESTRATE_11358,TESTRATE_11360,TESTRATE_11361,TESTRATE_11362,TESTRATE_11363,TESTRATE_11364,TESTRATE_11365,TESTRATE_11366,TESTRATE_11367,TESTRATE_11368,TESTRATE_11369,TESTRATE_11370,TESTRATE_11372,TESTRATE_11373,TESTRATE_11374,TESTRATE_11375,TESTRATE_11377,TESTRATE_11378,TESTRATE_11379,TESTRATE_11385,TESTRATE_11411,TESTRATE_11412,TESTRATE_11413,TESTRATE_11414,TESTRATE_11415,TESTRATE_11416,TESTRATE_11417,TESTRATE_11418,TESTRATE_11419,TESTRATE_11420,TESTRATE_11421,TESTRATE_11422,TESTRATE_11423,TESTRATE_11426,TESTRATE_11427,TESTRATE_11428,TESTRATE_11429,TESTRATE_11432,TESTRATE_11433,TESTRATE_11434,TESTRATE_11435,TESTRATE_11436,TESTRATE_11691,TESTRATE_11692,TESTRATE_11693,TESTRATE_11694,TESTRATE_11697
08/08/2020,2117.02,2131.21,1876.59,2348.61,1950.43,2246.38,1970.08,2121.54,2124.95,2119.7,1952.67,2129.04,2574.57,2278.17,2296.65,2257.47,2526.77,2394.27,2857.99,2270.58,1799.75,1670.83,2309.16,2984.16,2000.25,2028.08,2913.78,3015.72,2050.98,2077.47,2121.58,2808.57,2043.06,1875.52,2011.07,1984.01,1931.73,2695.8,2463.09,2327.67,1762.55,2086.03,2087.96,4549.41,3057.45,2068.56,3562.67,2467.61,1497.93,1633.18,2811.98,2218.02,2425.26,3191.93,1946.04,1905.06,1555.78,1515.72,1517.93,2273.74,1764.05,2742,2062.61,2159.22,1912.87,1697.08,2000.3,2001.23,1946.51,1625.57,2088.87,1691.73,1943.06,1963.73,2692.05,2170.16,2632.05,2369.93,2394.7,2035.69,2924.94,1907.71,2659.94,1538.71,2019.94,1678.41,2849.97,5081.93,2462.3,2289.92,2040.79,2016.74,1876.22,1963.74,2342.63,3379.13,1949.14,1031.3,1841.95,1932.88,2025.12,1730.76,1688.53,1507.15,2054.75,2369.98,1828.14,1229.34,2196.07,2276.32,2542.16,1619.01,1232.2,1673.52,2048.11,2690.78,1262.71,1789.47,1947.36,2152.94,1605.05,1334.83,1419.74,2113.62,2067.51,1628.02,1618.18,1612.58,2448.59,1958.31,2801.19,1965.86,2743.01,1552.26,1683.18,2376.35,1721.05,1711.7,2316.97,1900.37,2167.68,1574.75,1709.46,1632.87,1644.7,1733.26,1891.3,1793.73,2366.41,1872.22,1872.26,1857.81,2048.83,1856.39,2314.63,1596.29,2128.35,2283.61,1962.65,1643.25,2066.44,1481.64,1607.53,1380.85,1276.16,1358.84,1558.07,2102.56,2023.23,1482.87,2061.7,1959,1998.86,1627.86,1875.59,2312.65,1612.6,1726.33,2420.12,3029.13,1838.68,2372.54,2387.54
08/15/2020,2224.18,2221.75,1976.91,2461.28,2045.25,2400.33,1955.59,2328.65,2206.46,2321.58,2066.86,2158.61,3232.52,2299.17,2521.51,2279.58,2932.78,2546.94,2874.47,2360.93,1947.06,1848.94,2433.23,3021.22,2087.64,2235.26,3201.39,3241.65,2074.26,2055.38,2353.8,2936.41,2025.97,2056.81,1879.43,1954.96,2095.08,2698.64,2613.6,2101.63,1994.35,2137.54,2110.71,4532.27,3240.25,2561.83,3341.36,2592.27,1530.03,1310.14,2963.63,2131.46,2432.81,3289.81,2065.05,2128.51,1609.43,1794.05,1885.27,2457.18,1947.5,2843.59,2163.95,2175.17,1856.95,1929.7,1985.98,1928.26,1920.74,1800.81,2268.51,1977.08,2124.33,2095.18,2847.8,2566.86,2353.77,2316.64,2534.82,2016.41,3398.66,1907.71,3003.62,1903.53,2084.23,1828.72,2447.51,5519.94,2587.18,2459.66,2241.15,2335.17,1917.66,2177.48,2602.92,3428.9,2329.69,1196.04,2007.39,1792.18,2207.08,1727.62,1725.56,1650.25,2018.35,2315.9,1820.4,1316.61,2293.74,2393.05,2725.67,1786.59,1383.18,2461.13,2153.71,2732.3,1363.33,1837.01,2246.42,2071.8,1805.13,1343.21,1501.87,2635.34,3068.04,1658.97,1610.74,1566.54,2124.24,1910.39,2939.38,2011.93,2743.01,1714.59,2077.67,2216.21,1784.89,1727.45,2415.57,1767.79,2152.83,1650.4,1709.46,1773.63,1799.59,1616.38,2251.12,1941.64,2190.08,1912.59,1944.74,1940.6,2273.7,2069.42,2415.62,1666.74,2086.25,2278.36,2069.11,1699.67,2490.33,1337.65,1710.62,1577.73,1338.01,1555.34,1573.05,2210.62,2267.3,1800.28,2235.63,2093.55,2076.58,1757.89,1913.92,2327.62,1679.36,1656.48,2765.63,2895.98,1846.57,2545.79,2269.63
08/22/2020,2448.24,2367.57,2136.1,3029.95,2145.83,2454.3,2976.85,2834.47,6371.14,2994.5,2352.34,3045.72,2646.09,3343.77,3666.84,3208.3,4794.39,3636.51,3715.05,2853.94,2421.02,2374.78,2757.2,3424.48,2624.92,2783.96,3697.87,3942.37,2379.45,2859.87,2571.23,2852.04,2073.8,2109.33,2282.28,2021.61,2052.47,2650.4,2874.22,2774.92,2248.02,2262.63,2474.62,4797.87,3462.48,3039.19,3540.97,2915.02,1990.11,2117.75,3058.74,2077.36,2625.17,2795.63,1932.04,2192.9,1676.48,1820.88,1885.27,2371.86,1924.57,3109.47,2180.84,2127.31,1925.58,1868.9,1985.98,2158.96,1912.6,1977.27,2345.8,2022.94,2268.94,2132.35,3313.62,2170.16,2669.16,2556.44,2674.93,2233.61,3682.34,1921.05,3121.31,1844.68,2214.5,1645.01,3137.78,5329.96,3170.85,2403.08,2352.78,2193.65,1937.01,2169.46,2880.57,4217.1,2138.73,1271.28,2499.32,1916.74,1935.26,1688.9,2088.44,1909.05,2197.37,2479.48,2091.29,1629.06,2642.75,2896.47,3151.4,1981.19,1467.54,2079.48,2321.93,2704.62,1359.65,2383.79,2277.72,2488.83,1476.11,1476.09,1693.12,2421.3,2739.45,1766.6,1815.94,1676.52,2486.69,2308.31,3198.96,2058.01,3165.87,1983.44,1849.74,2386.69,1737.7,1995.23,2244.92,1905.9,2034.06,1762.48,1828.14,1893.28,2030.68,1796.69,2280.85,2026.6,2504.83,1979.15,2014.8,2120.21,2233.24,2016.85,2535.72,1680.26,2058.18,2280.98,2194.09,1734.94,2670.48,1439.96,1549.55,1636.26,1313.27,1578.34,1685.41,2392.78,2267.3,1606.86,2121.09,1980.53,2129.43,1915.9,1919.4,2556.79,1746.13,1786.2,3220.34,3428.58,1657.18,2011.61,2770.72
08/29/2020,2468.94,2291.27,2177.04,3122.79,2140.68,2460.82,2774.05,2436.18,5976.53,3196.38,2763.43,2631.73,3690.22,3156.54,3702.82,3590.24,4366.78,4035.55,3668.9,3016.96,2773.28,2128.82,3046.71,3400.5,2786.75,2910.21,3905.02,4559.05,2813.96,3473.48,2797.11,2393.1,2176.3,2192.35,2494.8,2125.85,2118.75,2735.53,3105.48,2294,2199.91,1696.05,2265.37,5680.34,3806.57,5012.28,4053.03,3015.77,2107.81,2279.28,2709.17,2169.33,2263.08,2640.45,1978.71,2666.32,1676.48,1777.29,1785.09,2440.11,1911.46,3071.64,2263.17,2164.54,1897.62,1757.88,1926.3,2078.49,1935.66,1834.65,2375.04,1849.69,2199.69,2052.69,2650.61,2030.15,2499.87,2299.81,2667.1,2084.53,4004.57,2147.84,3587.39,1891.76,2067.31,1628.31,2915.49,5182.2,3151.85,3401.59,2432.92,2390.21,2182.93,2177.48,2845.86,3939.38,2406.08,1419.17,2413.29,2042.44,2515.95,1729.71,2069.19,1899.92,2573.11,2451.09,2233.7,1397.42,2802.18,2730.49,3369.16,1936.59,1540.81,1814.13,2301.06,2931.62,1440.64,1733.27,2338.57,2426.17,1556.14,1557.5,1912.49,2811.92,2632.38,1876.93,1848.9,1727.67,2418.73,2072.89,3073.84,2372.85,2518.6,1466.02,1788.37,2505.5,1773.79,2158,2335.94,1911.42,2063.75,1681.22,1928.56,1703.25,2239.65,1650.81,2295.72,1944.78,2603.71,1868.95,2096.94,2191.77,2124.97,1643.36,2497.51,1649.37,2034.79,2485.72,2032.08,1840.72,2988.39,1367.96,1694.51,1630.94,1436.97,1647.33,1480.67,2173.57,2302.62,1740.76,2430.77,2066.64,2098.34,2062.39,1900.23,2529.83,1877.94,1861.04,3320.55,3571.24,1957.05,2054.92,2593.87
09/05/2020,2739.25,2529.25,2422.2,3384.96,2348.82,3065.89,3168.79,3024.32,5216.96,3768.36,2752.01,3223.14,4677.14,3653.47,3816.75,3728.94,4850.54,3886.34,3995.25,3474.62,2843.74,2459.6,3428.12,3550.91,3223.7,2970.1,4029.99,5533.73,2961.38,3894.66,2790.78,2381.6,2347.12,2170.32,2417.09,2324.08,2069.04,3010.78,3681.79,3025,3297.68,1832.18,3227.47,4823.57,3946.36,3930.26,3766.63,3282.17,2514.39,2925.37,4020.05,3034.9,2881.65,2893.51,2529.39,2937.12,2206.25,2390.95,2325.47,2994.68,2507.67,3525.58,2244.17,2114.01,2089.54,2056.58,1830.82,2182.57,2084.87,1918.05,2523.35,1934.62,2564.27,2320.89,3672.28,2006.82,2908.01,2665.82,2930.67,2324.85,4026.61,2648.12,4444.22,2141.83,2295.7,1603.26,3285.19,5483,3483.05,3561.35,2790.71,2551.39,2486.88,2433.97,3019.39,4234.75,2371.98,1511.27,2084.6,1974.4,2058.81,1726.57,2498.72,2131.32,2556.38,2579.53,2600.57,1871.48,3247.43,3000.44,3454.8,2427.16,1518.61,1753.87,2441.04,3230.59,1978.12,2573.98,2632.42,2542.24,2254.18,2292.55,2485.12,2892.18,2780.06,1972.46,2482.56,2326.16,2959.31,2083.31,3583.66,2365.17,2574.24,1594.11,1924.26,2797.38,1920.91,2488.79,2483.83,2419.66,2167.68,1902.58,2172.77,2167.77,2175.73,1760.45,2414.67,2237.44,2872.32,2206.08,2377.17,2542.57,2565.2,2312.88,2887.83,1947.59,2245.29,2540.84,2240.38,2024.09,2840.03,1530.91,1920.02,1819.85,1562.73,1835.47,1692.91,2516.28,2485.68,2082.96,2532.58,2330.35,2294.18,1953.76,2195.94,2646.66,2139.86,2060.62,3010.94,3224.1,2091.2,2512.1,3507.62
09/12/2020,2536.15,2337.04,2231.3,3237.11,2166.82,2711.79,3121.71,2661.88,7747.63,3196.38,2729.17,2690.88,3504.28,3758.46,3861.72,3791.26,4064.43,4625.44,3893.06,3087.67,2453.04,2162.75,2961.69,3513.85,2760.86,2685.23,3726.97,4959.62,2428.59,3427.74,2571.23,2409.72,2353.96,2129.66,2023.75,2013.06,1919.9,3271.85,3156.87,2380.57,2387.97,1868.97,3491.31,4515.14,3835.25,2864.16,3545.31,2783.53,2289.7,2063.91,3300.35,2667.03,2579.91,2647.61,2165.38,2471.27,1931.31,2112.62,2234.4,2828.31,2129.31,3244.57,1914.83,1970.42,1931.94,1660.07,1849.92,2108.53,1764.75,1853.99,2199.58,1829.31,2264.87,2108.45,3139.3,1913.48,2787.43,2717.71,2648.48,2119.23,3737.42,2528.05,3968.73,2060.93,2063.93,1753.57,3184.57,5192.75,2896.66,3295.08,2481.58,2405.94,2293.46,2238.93,2602.92,3493.11,2447,1406.19,2055.92,1809.48,2147.55,1830.16,2140.28,1939.5,2509.17,2494.36,2484.47,1634.45,2684.41,2518.91,3210.12,2148.77,1497.52,1491.69,2154.94,3321.95,2207.59,2344.89,2373.35,2365.57,1776.23,1902.28,2357.99,2924.29,2252.11,1767.95,2003.06,2342.78,2599.95,2041.64,3266.19,2104.08,2577.95,1817.31,1661.26,2477.09,2093.01,2152.75,2688.6,1867.23,2212.22,1737.26,2051.81,1977.74,1770.08,1723.3,2224.35,1935.34,2272.48,1934.41,2125.93,2124.42,2299.87,2232.65,2653.09,1607.87,2175.12,2354.48,2087.63,1685.57,2543.31,1477.85,1894.25,1753.33,1414.29,1588.79,1510.63,2386.61,2421.45,1854.83,2210.17,2028.96,2141.86,1774.35,2083.68,2625.69,2035.43,1895.97,3118.63,3000.6,2241.14,2107.86,2918.1
09/19/2020,2736.1,2532.28,2451.34,3598.13,2254.4,2721.66,3205,2857.04,8325.64,3600.13,3448.58,3104.86,3361.25,3805.7,4668.25,4408.4,5584.81,4778.12,4713.86,3629.79,3189.6,2892.15,3432.71,3986.87,3349.93,3039.7,4050.53,5158.27,2622.57,3339.4,3060.99,2817.52,2394.95,2316.03,2120.5,2209.58,2045.37,2786.6,3674.45,2693.17,3901.23,2052.92,3675.54,5200.55,4494.77,3214.22,3935.86,3347.06,2300.4,2225.44,3495.7,2201.79,2591.22,2838.6,2340.39,2579.21,1824.02,1951.66,2082.6,2478.51,2137.5,3187.29,2246.28,2114.01,1968.79,2209.9,1931.07,2214.76,2042.82,2338.64,2452.33,1932.92,2342.26,2230.61,3499.38,2730.2,2859.31,2856.54,2738.62,2238.75,3719.52,2448.01,4858.51,1980.02,2126.52,1887.17,3236.05,5894.62,3282.16,3534.73,2742.05,2755.82,2232.67,2580.91,2793.8,3979.51,2389.71,1353.01,2329.46,2096.65,2427.22,1750.64,2094.37,2008.01,2819.01,2468.67,2794.06,1910.27,3089.44,2949.37,3812.02,2344.72,1639.61,1527.63,2342.81,3917.13,2837.1,2360.02,2816.72,2577.16,1838.47,2122.55,2738.24,3119.6,2314.87,1996.68,2004.12,2498.8,2676.15,2322.89,3841.37,2564.83,2961.86,1739.95,2086.44,2273.03,1904.25,2058.24,2233.55,1800.93,2078.6,1807.32,1990.18,2076.27,2067.56,1764.07,2313.57,2108.42,2218.09,2074.07,2166.99,2341.91,2358.17,2061.12,2642.17,1686.05,2273.35,2412.23,2168.64,1840.72,2442.64,1542.27,1871.7,1814.52,1583.34,1590.88,1435.72,2358.82,2408.6,1939.14,2227.14,2136.6,2315.94,2055.81,1818.09,2672.12,2057.69,1905.95,3519.49,3542.71,2106.98,2617.98,2623.34
09/26/2020,2776.34,2500.13,2534.35,3552.33,2320.38,2890.94,3099.98,2870.32,8049.6,3802.01,2991.82,2513.45,3704.52,4192.39,5058.02,4283.76,5558.9,4160.47,4618.27,3824.24,2997.45,2442.63,3543,3690.42,3146.02,2965.24,4088.2,5014.19,2614.81,3315.74,3041.99,2807.29,2473.53,2251.64,2169.67,2394.14,2033.53,2925.65,3435.85,2505.61,3131.48,2093.39,3777.89,4943.52,4086.15,3421.08,3883.79,3297.54,2525.09,2386.96,3693.62,2515.56,2708.15,2738.33,2363.72,3039.38,2166.02,1981.84,2201,2794.18,2270.17,3393.72,2220.95,1995.68,1981.5,1948.2,1950.17,2063.46,1935.66,2254.04,2517.08,1878.57,2334.12,2173.51,3315.05,2496.85,2817.57,2926.65,2829.75,2292.72,3847.59,2354.62,5046.83,1737.3,2336.3,1519.76,3219.67,5804.9,3447.76,3791.01,2950.99,2720.44,2542.15,2714.5,3401.15,4623.23,2755.26,1500.89,2426.52,2177.37,2404.76,1739.13,2266.18,2132.84,3091.47,2272.64,2554.13,1826.23,3415.47,3146.35,3966.16,2479.87,1678.46,1575.21,2472.96,4307.46,2762.25,2528.59,2748.91,2655.23,2014.09,2323.68,2597.62,3100.87,2340.72,2028.97,2051.97,2517.98,2860.46,2431.22,3796.55,2165.52,3188.12,1776.73,1788.37,2546.83,1859.84,2205.26,2419.36,1994.29,1915.28,1625.18,1830.42,2174.81,1998.72,1720.58,2524.7,1822.05,2433.97,2257.36,2297.45,2291.4,2550.92,2088.78,2672.2,1814.41,2231.25,2315.11,2136.23,2179.25,2702.27,1913.63,2045.66,1705.44,1552.42,1770.67,1652.95,2340.3,2434.29,1973.86,2299.26,2050.49,2213.36,2228.63,1979.63,2763.49,1913.89,1751.28,3546.41,3328.72,2272.7,2261.86,2770.72
10/03/2020,2881.08,2447.39,2730.53,3581.55,2465.06,3057.69,3570.77,2822.52,4475.91,3902.94,3288.71,3459.7,4076.41,3349.02,4647.26,4338.04,4094.67,3806.53,4338.07,3924.41,3074.31,2807.33,3405.14,4015.21,3401.72,3313.24,4721.63,5719.28,2909.66,3815.79,3489.53,2978.59,2671.69,2510.86,2578.86,2535.98,2175.57,2925.65,3722.17,2784.54,2851.57,2086.03,3009.12,5003.49,4695.49,4216.68,4378.48,3680.06,2460.89,3176.63,3387.74,2607.52,2847.7,3296.98,2545.72,3211.71,2347.08,2169.63,2462.08,3067.2,2335.69,3605.56,2299.06,2079.44,1897.62,1953.49,1742.5,2309.19,1859.7,1891.46,2514.99,1859.88,2395.22,2246.54,3569.39,2310.17,2759.6,2660.21,2935.57,2238.75,3771.85,2421.33,4095.84,1782.9,1994.57,1586.56,3116.72,5826.01,3249.58,4050.62,3114.14,2858.03,2765.97,2885.49,3366.44,4725.97,2667.96,1773.31,3103.74,2566.03,2460.92,1752.73,2543.16,2260.72,3427.86,2491.65,2486.02,1970.6,3701.29,3219.31,4122.76,2901.51,2602.06,1892.36,2611.71,4415.42,2640.76,2638.81,2621.98,2583.33,2358.67,2367.97,3145.49,3793.81,2739.45,1991.3,2291.19,2474.5,2988.14,2397.89,4184.98,2488.04,3032.33,1805.89,2055.75,2526.17,2001.41,2399.53,2616.55,2364.42,2449.77,1810.12,2008.44,2097.39,2200.31,1807.56,2328.43,1985.69,2971.19,2244.27,2671.9,2656.23,2594.94,2332.24,2770.46,1934.08,2348.2,2538.22,2194.09,2288.56,3703.7,1879.53,2106.87,2354.63,1764.77,1768.58,1762.82,2469.97,2482.47,2147.44,2672.57,2502.57,2402.99,2426.15,2028.92,2579.26,1978.94,2185.35,3760.3,3067.17,2548.9,2998.16,3124.43
10/10/2020,3427.39,2693.33,3300.87,4533.41,2847.96,3488.66,4200.91,3300.47,9011.11,5585.25,4955.91,3784.97,4448.29,4824.05,6344.26,5461.75,7398.91,5204.92,6012.65,4737.58,4105.48,3443.44,4406.93,4943.81,4262.66,4146.81,5548.51,6619.74,3615.73,4483.04,3985.62,3363.38,2907.43,2947.98,2988.05,2913.64,2682.17,3694.66,4434.3,3010.58,4058.68,2350.93,4223.69,5543.25,6014.53,5553.29,5558.81,4479.26,3477.34,2961.26,4328.5,2878.01,3206.02,3943.96,3210.74,3829.05,2447.67,2531.79,2647.27,3498.06,2556.81,3847.66,2543.96,2249.63,2076.83,2225.76,2198.42,2135.36,2072.66,2341.06,2527.53,2155.43,2886.07,2525.37,3416.5,2870.21,3552.69,3334.73,3035.51,2218.18,3675.45,2814.88,5385.8,1978.55,2368.44,1745.22,3252.43,6485.66,4395.21,4779.54,3984.27,3510.62,3268.87,3657.63,4095.26,5687.54,3078.52,2065.19,3825.08,3396.38,2800.12,2057.23,3212.65,2880.33,4778.34,2897.24,3196.53,2289.52,4735.41,4173.25,4974.22,3452.89,2226.85,2216.92,3264.95,5666.68,3044.48,2835.48,3552.2,3187.3,2460.93,3092.25,3785.61,4072.06,3437.23,2427.23,2743.04,3084.49,3423.7,2920.8,5225.16,2895.03,3236.35,1840.14,2441.48,2657.9,2720.36,2761.82,3128.48,2817.41,2895.19,2292.07,2544.79,2273.35,3021.43,2123.77,3083.76,2388.49,3468.86,2685.05,3273.44,3214.69,3175.56,2285.21,3302.72,2288.27,2521.27,2884.7,2532,2214.51,5351.55,1883.32,2097.2,2482.33,1884.34,2059.16,1952.58,2673.74,2842.15,2068.08,2804.08,2567.15,2567.75,2842.58,2352.01,2865.34,2394.93,2200.32,3630.17,3699.63,2825.09,3041.47,3448.67
