"Week of diagnosis","Vaccinated + boosted case count","Vaccinated + boosted age-adjusted case rate","Vaccinated + boosted hospitalized count","Vaccinated + boosted age-adjusted hospitalized rate","Vaccinated + boosted death count","Vaccinated + boosted age-adjusted death rate","Vaccinated + unboosted case count","Vaccinated + unboosted age-adjusted case rate","Vaccinated + unboosted hospitalized count","Vaccinated + unboosted age-adjusted hospitalized rate","Vaccinated + unboosted death count","Vaccinated + unboosted age-adjusted death rate","Unvaccinated case count","Unvaccinated age-adjusted case rate","Unvaccinated hospitalized count","Unvaccinated age-adjusted hospitalized rate","Unvaccinated death count","Unvaccinated age-adjusted death rate","citywide_case_rate","citywide_hosp_rate_adj","citywide_death_rate_adj","incomplete"
01/23/2021,,,,,,,6,50,0,0,0,0,35378,450.67,2876,31.93,586,6.12,459.07,32.24,6.77,
01/30/2021,,,,,,,26,49.54,2,4.71,2,4.71,34081,442.84,2734,31.43,549,6,440.78,31.04,6.39,
02/06/2021,,,,,,,47,50.64,5,5.45,1,1.14,26644,351.72,2644,31.69,563,6.48,351.31,30.38,6.58,
02/13/2021,,,,,,,71,44.31,6,3.81,1,0.63,25940,348.43,2355,29.18,464,5.6,339.35,27.21,5.41,
02/20/2021,,,,,,,78,30.82,4,1.16,1,0.29,22867,310.1,2146,27.38,421,5.3,300.09,24.8,4.93,
02/27/2021,,,,,,,144,34.85,14,2.45,4,0.61,25066,348.06,2194,29.26,390,5.21,327.74,25.7,4.75,
03/06/2021,,,,,,,165,28.63,20,1.6,4,0.3,23934,336.13,2041,27.84,318,4.37,316.16,24.05,3.77,
03/13/2021,,,,,,,205,28.38,23,1.33,8,0.43,24264,350.77,1968,28.36,332,4.9,318.95,23.13,3.87,
03/20/2021,,,,,,,232,29.6,18,1.13,4,0.17,23640,356.88,1839,28.68,278,4.53,313.11,22.23,3.32,
03/27/2021,,,,,,,385,38.72,44,2.17,8,0.29,25946,411.12,2033,34.37,319,5.69,345.35,25.01,3.99,
04/03/2021,,,,,,,412,35.08,46,1.98,5,0.2,22121,367.91,1622,29.29,245,4.75,296.62,20.06,3.14,
04/10/2021,,,,,,,420,27.75,49,1.64,10,0.3,19619,342.12,1432,27.48,203,4.21,266.74,18.22,2.65,
04/17/2021,,,,,,,498,25.97,72,2.51,14,0.38,15319,284.39,1182,24.4,153,3.38,211.78,15.13,2.07,
04/24/2021,,,,,,,467,19.55,58,1.51,9,0.18,10452,212.18,877,19.87,106,2.54,149.24,11.18,1.41,
05/01/2021,,,,,,,384,14.11,55,1.49,8,0.16,7533,165,651,15.99,84,2.15,108.96,8.5,1.2,
05/08/2021,,,,,,,301,10.2,43,0.99,6,0.12,5311,124.55,478,12.46,69,1.86,76.52,6.17,0.89,
05/15/2021,,,,,,,281,8,44,0.92,6,0.1,3606,89.09,355,9.82,30,0.86,54.07,4.86,0.5,
05/22/2021,,,,,,,218,8.14,42,0.82,5,0.09,2547,65.74,287,8.27,30,0.9,38.34,3.99,0.41,
05/29/2021,,,,,,,207,4.51,44,0.81,7,0.12,1684,46.06,205,6.19,24,0.75,25.87,2.92,0.38,
06/05/2021,,,,,,,190,4.67,26,0.49,5,0.08,1303,37.47,151,4.73,21,0.67,20.12,2.16,0.3,
06/12/2021,,,,,,,218,5.01,32,0.56,2,0.04,1115,33.48,155,5.11,23,0.77,17.87,2.29,0.29,
06/19/2021,,,,,,,218,4.97,44,0.78,8,0.12,1029,32.22,138,4.66,10,0.35,16.52,2.16,0.22,
06/26/2021,,,,,,,246,5.68,33,0.6,3,0.05,1038,33.17,119,4.09,15,0.51,16.78,1.8,0.2,
07/03/2021,,,,,,,362,7.67,29,0.51,6,0.1,1216,40.4,146,5.17,12,0.42,20.52,2.04,0.21,
07/10/2021,,,,,,,623,13.04,37,0.6,6,0.09,1861,62.98,148,5.48,14,0.54,32.22,2.23,0.23,
07/17/2021,,,,,,,1210,25.56,61,0.98,12,0.18,2781,94.78,217,8.31,15,0.56,52.11,3.29,0.31,
07/24/2021,,,,,,,1966,41.07,62,1.02,3,0.04,4450,155.99,286,11.01,35,1.32,83.47,4.16,0.46,
07/31/2021,,,,,,,2747,56.75,112,1.81,14,0.2,6542,235.33,409,16.18,49,1.95,121.29,6.08,0.7,
08/07/2021,,,,,,,3435,69.45,149,2.45,9,0.14,8153,303.25,554,22.99,54,2.21,150.12,8.34,0.73,
08/14/2021,,,,,,,3617,71.94,161,2.6,18,0.27,8559,328.03,659,28.02,63,2.6,157.54,9.77,0.94,
08/21/2021,,,,,,,3862,74.87,180,2.73,32,0.46,8714,349.7,633,27.94,71,3.02,162.52,9.71,1.18,
08/28/2021,,,,,,,3801,73.16,166,2.51,30,0.43,8004,338.51,582,26.72,71,3.15,153.14,8.96,1.2,
09/04/2021,,,,,,,3641,68.77,184,2.76,34,0.49,7311,326.35,542,26.42,65,2.94,141.37,8.6,1.16,
09/11/2021,9,58.04,0,0,0,0,3747,68.95,158,2.42,22,0.32,6830,321.55,475,24.38,62,2.89,138.04,7.61,1.01,
09/18/2021,12,32.69,1,0.8,0,0,3794,69.79,167,2.54,20,0.29,7344,359.36,443,22.77,60,2.85,152.04,7.34,0.96,
09/25/2021,10,45.58,2,5.78,0,0,3385,62.32,163,2.47,15,0.21,6330,316.28,399,22.02,40,2.1,138.76,6.7,0.72,
10/02/2021,21,40.83,1,2.25,0,0,2995,54.3,136,2.1,12,0.17,5076,269.87,338,19.12,54,2.8,117.21,5.66,0.78,
10/09/2021,11,18.47,0,0,0,0,2909,51.62,154,2.36,20,0.28,5188,300.93,287,17.56,36,1.89,111.97,5.17,0.67,
10/16/2021,9,5.76,0,0,0,0,2522,44.69,127,1.92,15,0.22,4335,263.09,283,18.39,44,2.42,94.78,4.79,0.69,
10/23/2021,19,11.77,3,0.88,0,0,2138,37.22,113,1.68,18,0.26,3336,212.65,201,12.95,31,1.6,75.95,3.79,0.58,
10/30/2021,19,6.95,0,0,0,0,2069,35.6,106,1.66,12,0.18,2856,188.38,176,12.08,20,1.31,67.53,3.35,0.38,
11/06/2021,42,13.66,3,0.28,0,0,2554,44.98,101,1.6,14,0.21,3135,218.25,166,12.15,27,1.5,78.93,3.09,0.44,
11/13/2021,67,17.13,3,0.21,1,0.07,3256,56.3,131,2.21,25,0.4,3870,294.94,183,14.2,34,2.09,97.44,3.76,0.71,
11/20/2021,105,20.22,4,0.52,1,0.05,4251,75.28,140,2.36,27,0.47,4591,355.02,211,17.12,43,2.74,120.42,4.16,0.81,
11/27/2021,177,30.88,8,0.36,3,0.14,4364,78,166,2.94,23,0.42,4429,370.18,269,22.96,50,3.12,122.05,5.31,0.9,
12/04/2021,313,37.73,20,1.21,3,0.12,6903,129.28,229,4.31,44,0.85,7190,620.08,383,32.12,69,3.99,193.22,7.43,1.28,
12/11/2021,755,85.05,28,1.51,2,0.07,9762,188.16,336,6.49,53,1.07,9713,897.23,521,45.98,86,5.72,266.43,10.27,1.56,
12/18/2021,7247,692.98,73,4.23,5,0.18,41556,822.94,557,11.41,65,1.45,28415,3145.49,756,72.61,115,7.21,966.8,16.41,2.01,
12/25/2021,15275,1036.12,219,9.31,23,0.72,90580,1916.53,1612,34.74,133,3.14,59898,6881.81,1801,197.72,213,15.17,2056.19,43.84,4.14,
01/01/2022,24941,1251.46,622,21.33,60,1.59,144622,3193.42,3335,77.42,366,9.21,99036,12672.45,3419,400.17,371,28.23,3318.5,87,9.16,
01/08/2022,33334,1465.64,819,25.61,126,3.25,124540,3005.84,3368,83.72,405,10.96,96022,12635.04,3460,419.33,552,41.87,3180.65,89.17,12.43,
01/15/2022,20689,801.46,650,18.2,106,2.64,52145,1326.03,2133,56.79,320,9.32,40053,5867.71,2235,281.13,416,30.9,1452.02,57.91,9.79,
01/22/2022,12293,452.57,475,12.45,69,1.61,22661,597.21,1149,31.9,170,5.05,17357,2614.52,1348,161.06,246,18.31,675.98,34.24,6.04,
01/29/2022,6521,229.9,258,6.57,37,0.83,10083,273.77,664,18.99,100,3.12,8013,1255.09,727,88.96,138,9.78,318.97,19.32,3.48,
02/05/2022,3735,136.85,200,4.93,27,0.59,4834,133.14,372,10.88,48,1.51,4647,740.19,429,55.75,77,6.27,171.5,11.54,1.83,
02/12/2022,2583,91.3,133,3.46,8,0.16,2781,77.74,234,7.01,25,0.78,2597,437.43,254,36.96,38,3.71,102.15,7.25,0.92,
02/19/2022,1775,62.35,98,2.38,11,0.23,1762,48.99,179,5.45,18,0.56,1746,310.93,171,24.64,22,1.67,66.79,5.21,0.61,
02/26/2022,1602,54.97,66,1.78,6,0.12,1178,32.09,102,3.13,11,0.36,1101,217.53,108,15.43,9,0.68,49.77,3.24,0.29,
03/05/2022,1622,54.37,84,1.91,9,0.19,1108,31.4,86,2.64,9,0.32,1014,199.63,82,12.48,4,0.39,48.18,3.03,0.35,
03/12/2022,1936,64.36,53,1.17,6,0.12,1080,30.51,66,2.03,3,0.09,1011,198.52,57,6.55,6,0.53,51.29,2.02,0.16,
03/19/2022,2738,90.35,57,1.44,3,0.06,1318,37.92,65,2.01,5,0.14,1221,234.51,67,11.52,3,0.51,67.78,2.24,0.14,
03/26/2022,3977,133,70,1.57,5,0.1,2037,58.08,57,1.85,4,0.14,1801,360.81,54,7.98,5,0.47,100.36,2.09,0.16,
04/02/2022,4824,156.25,79,1.81,7,0.14,2628,75.09,74,2.43,8,0.28,2008,390.74,66,10.55,5,0.27,122.14,2.52,0.21,
04/09/2022,6726,217.3,109,2.51,4,0.08,3440,99.26,98,3.18,6,0.22,2574,502.48,105,16.91,15,1.54,163.97,3.67,0.29,
04/16/2022,7995,250.44,126,2.87,11,0.22,4166,121.36,108,3.52,7,0.25,3034,577.93,103,15.12,13,1.23,195.63,3.92,0.38,
04/23/2022,7579,229.16,191,4.34,13,0.25,3876,111.53,137,4.47,11,0.43,2796,548.9,126,19.48,8,0.64,183.62,5.32,0.36,
04/30/2022,9568,291.2,240,5.4,15,0.29,5336,154.71,136,4.35,9,0.33,3856,716.19,135,20.84,9,0.84,241.57,5.95,0.39,
