week_ending,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
02/29/2020,,0,0,0,0,0,,0,0,0,0
03/07/2020,0.29,0,,0,,,,0.68,,,
03/14/2020,22.72,,1.07,6.7,16.46,32.28,33.6,28.79,26.13,26.43,23.15
03/21/2020,222.12,14.13,17.66,57.3,149.01,259.69,322.1,315.44,304.53,268.92,228.09
03/28/2020,338.58,23.1,18.86,46.9,170.58,325.13,433.02,482.45,525.36,491.93,546.46
04/04/2020,420.36,25.97,25.28,59.14,191.72,360.92,487.9,608.12,667.52,665,803.23
04/11/2020,412.96,27.11,31.84,67.92,199.95,326.62,437.42,574.47,681.13,651.65,913.8
04/18/2020,280.87,21,23.81,64.92,152.98,210.62,276.8,397.34,456.49,434.06,664.52
04/25/2020,231.64,17.18,33.17,82.71,154.68,175.37,247.07,337.03,369.1,332.5,457.97
05/02/2020,155.19,16.04,25.01,64.23,121.62,126.31,169.76,213.41,238.16,209.52,293.62
05/09/2020,95.88,11.46,16.99,46.21,77.77,78.12,94.03,121.39,140.35,141.21,207.44
05/16/2020,75.93,8.59,14.71,44.82,63.86,60.73,77.4,99.89,104.21,108.51,160.61
05/23/2020,56.54,9.17,10.57,31.19,53.93,51.02,62.71,73.53,77.28,73.46,97.22
05/30/2020,43.59,4.39,5.75,21.02,39.03,36.53,49.96,56.42,65.57,56.62,80.13
06/06/2020,33.57,3.63,6.96,14.79,30.08,26.35,34.92,43.28,45.05,43.41,81.37
06/13/2020,26.9,3.63,5.35,12.01,25.54,24.87,30.61,37.25,39.74,33.81,37.75
06/20/2020,25.99,3.82,7.36,9.24,26.68,30.67,27.71,31.42,36.64,29.08,34.9
06/27/2020,25.44,3.82,5.22,12.71,30.08,36.19,28.59,30.25,28.33,25.32,27.96
07/04/2020,27.22,5.16,7.22,20.1,41.58,41.32,30.35,27.04,30.03,21.98,20.3
07/11/2020,29.59,7.64,10.57,13.86,46.83,41.25,33.69,33.75,32.03,22.26,24.22
07/18/2020,31.03,6.68,9.36,20.1,48.11,44.48,34.92,37.25,31.53,23.09,24.04
07/25/2020,24.34,4.2,8.56,12.48,38.32,33.36,26.56,30.06,24.83,21.56,19.59
08/01/2020,21.83,5.16,8.69,21.02,32.64,28.24,26.56,23.73,18.52,21.42,18.34
