week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
02/29/2020,0,0,0,0,0
03/07/2020,0.26,,,,0.49
03/14/2020,19.52,8.46,15.36,16.93,26.62
03/21/2020,188.86,73.35,179.2,194.81,217.34
03/28/2020,294.56,131.37,332.54,342.67,241.35
04/04/2020,362.94,181.57,427.27,436.99,259.54
04/11/2020,350.22,200.58,418.52,422.25,230.71
04/18/2020,223.93,125.76,267.82,286.67,135.49
04/25/2020,171.36,92.42,196.62,229.35,107.12
05/02/2020,109.89,57.35,124.2,148.86,70.92
05/09/2020,69.02,34.25,72.76,94.01,46.96
05/16/2020,58.66,25.26,59.95,81.33,44.88
05/23/2020,48.71,22.79,60.89,64.85,31.21
05/30/2020,38.25,17.29,53.03,48.43,22.19
06/06/2020,30.72,15.67,34.3,45.46,17.01
06/13/2020,24.49,14.26,26.48,37.02,13.13
06/20/2020,23.23,14,23.39,34.38,14.11
06/27/2020,21.5,14.98,21.48,30.41,13.34
07/04/2020,22.93,18.53,21.17,29.5,18.15
07/11/2020,25.12,17.58,24.2,35.07,18.99
07/18/2020,26.64,18.12,25.2,39.23,18.94
07/25/2020,20.92,15.74,18.5,28.94,16.04
08/01/2020,18.63,10.1,13.89,30.71,13.69
08/08/2020,17.91,11.83,12.28,30.19,12.26
08/15/2020,19.43,13.3,14.7,31.44,14.39
08/22/2020,17.85,12.33,12.51,25.88,16.45
08/29/2020,18.75,11.4,13.57,25.44,19.91
09/05/2020,18.68,10.41,11.4,22.65,24.81
09/12/2020,21.18,14.09,11.76,23.96,29.37
09/19/2020,26.27,16.65,13.45,26.36,41.77
09/26/2020,32.93,19.53,17.94,30.11,53.49
10/03/2020,39.48,27.07,21.14,37.99,61.49
10/10/2020,38.26,30.18,20.79,41.03,51.32
10/17/2020,40.26,34.79,23.61,46.28,48.37
10/24/2020,50.57,43.44,29.76,63.08,56.26
10/31/2020,56.11,37.1,34.35,73.06,63.72
11/07/2020,88.43,57.96,51.77,113.87,102.89
11/14/2020,127.42,92.64,79.21,169.03,137.56
11/21/2020,144.76,93.74,92.09,199.05,151.98
11/28/2020,167.88,116.05,106.58,225.85,177.28
12/05/2020,243.41,188.03,166.52,313.43,255.52
12/12/2020,253.18,234.34,177.25,317.51,250.51
12/19/2020,261.38,248.45,173.55,314.24,272.94
12/26/2020,280.45,270.06,181.24,339.81,291.82
01/02/2021,344.35,320.96,236.64,440.16,324.4
01/09/2021,441.51,391.39,339.56,563.67,415.86
01/16/2021,408.99,368.41,328.86,528.1,364.7
01/23/2021,390.28,358.51,329.99,498.33,339.79
01/30/2021,373.61,335.89,327.94,482.86,319.09
02/06/2021,301.42,277.2,258.76,381.45,261.51
02/13/2021,291.48,259.09,256.65,374.31,250.13
02/20/2021,258.56,249.04,214.29,328.06,222.85
02/27/2021,280.81,263.25,234.17,361.49,246.39
03/06/2021,269.89,252.04,222.22,338.54,247.84
03/13/2021,272.62,272.18,223.95,329.78,256
03/20/2021,264.72,266.94,236.51,309.58,246.17
03/27/2021,295.5,288.38,278.43,346.1,267.88
04/03/2021,253.23,249.33,261.65,297.93,209.87
04/10/2021,226.32,219.44,252.57,265.21,188.51
04/17/2021,180.06,166.64,213.33,207.86,146.43
04/24/2021,127.09,113.63,157.08,147.35,101.43
05/01/2021,92.21,75.92,125.13,109.97,68.81
05/08/2021,65.54,47.83,92.04,79.01,48.23
05/15/2021,45.9,33.11,62.75,58.95,32.24
05/22/2021,32.78,19.35,43.72,42.91,25.24
05/29/2021,22.12,13.05,26.68,29.98,17.12
06/05/2021,17.28,9.78,18.96,24.58,13.67
06/12/2021,15.47,7.08,17.51,22.92,11.45
06/19/2021,14.29,6.02,15.4,19.23,12.67
06/26/2021,14.38,9.86,12.4,17.27,16.05
07/03/2021,17.62,8.26,15.62,20.35,20.97
07/10/2021,27.13,15.34,27.48,28.61,30.63
07/17/2021,44.19,27,45.52,42.3,52.24
07/24/2021,72.38,38.9,76.9,71.31,86.08
07/31/2021,103.34,53.41,124.02,99.27,116.71
08/07/2021,127.39,67.08,159.79,127.68,131.28
08/14/2021,133.32,64.88,172.78,130.39,141.38
08/21/2021,136.63,64.26,175.69,138.52,145.61
08/28/2021,129.95,69.36,157.54,125.54,145.14
09/04/2021,119.33,58.42,130.98,120.17,139.56
09/11/2021,116.92,76.58,125.2,111.45,136.18
09/18/2021,124.72,91.25,133.08,114.05,150.73
09/25/2021,111.54,84.97,122.91,110.1,129.1
10/02/2021,96.08,78.68,93.34,94.7,117.52
10/09/2021,91.05,68.98,79.65,85.4,121.82
10/16/2021,76.52,63.23,61.79,69.35,106.09
10/23/2021,61.5,50.15,50.88,58.04,83.8
10/30/2021,55.46,44.85,43.25,51.24,76.95
11/06/2021,64.66,50.3,51.01,58.69,90.29
11/13/2021,81.59,68.53,58.41,72.99,115.18
11/20/2021,102.11,90.05,70.14,85.59,150.71
11/27/2021,103.04,93.59,73.17,86,146.68
12/04/2021,162.64,157.81,123.68,155.45,213.98
12/11/2021,213.65,192.13,167.95,189.95,291.18
12/18/2021,767.79,598.1,605.8,609.53,1103.21
12/25/2021,1651.82,1342.52,1736.04,1816.9,1706.21
01/01/2022,2653.28,2410.68,2620.38,3683.68,2041.18
01/08/2022,2520.18,2948.84,2244.87,3363.34,2015.15
01/15/2022,1164.52,1649.95,911.12,1378.49,1006.03
01/22/2022,549.72,843.04,389.28,547.7,565.38
01/29/2022,259.13,394.9,172.92,242.16,284.07
02/05/2022,135.9,193.44,86.77,117.67,168.59
02/12/2022,86.17,115.1,57.57,74.56,106.08
02/19/2022,57.64,73.62,39.42,43.58,77.02
02/26/2022,43.24,49.42,25.85,31.74,58.39
