week_ending,age_all_ages,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up
02/29/2020,0,0,0,0,0,0,0,0,0
03/07/2020,,0,0,0,0,0,,0,
03/14/2020,1.7,0,0,,0.53,2.04,2,5.84,8.9
03/21/2020,14.37,,,1.01,3.69,10.5,19.92,44.94,90.45
03/28/2020,42.27,,,3.5,12.23,28.69,60.77,128.13,267.62
04/04/2020,65.97,,1.14,3.64,13.37,42.99,97.2,191.01,444.44
04/11/2020,65.64,,1.14,2.43,9.24,26.65,85.29,190.18,503.55
04/18/2020,38.73,,0.71,0.81,3.69,16.63,41.14,96.41,337.24
04/25/2020,21.11,0,0.71,0.34,2.9,7.78,24.63,51.2,182.15
05/02/2020,10.53,,,0.4,1.76,4.77,10.61,23.51,93.48
05/09/2020,5.47,0,0,,0.62,1.95,5.61,14.47,47.36
05/16/2020,3.37,,,,0.44,2.04,4,8.07,26.89
05/23/2020,1.98,0,0,,,1.26,2.2,4.73,15.85
05/30/2020,1.31,0,,,,,1.2,3.34,11.4
06/06/2020,1.15,0,,,0.7,0.58,1,2.92,8.19
06/13/2020,0.73,0,0,,,,1.6,2.23,3.74
06/20/2020,0.48,0,0,,,,1.1,1.25,2.67
06/27/2020,0.35,0,0,,,,,1.11,1.78
07/04/2020,0.36,,0,,,,0.5,0.7,2.31
07/11/2020,0.47,,0,,,0,0.7,0.83,3.38
07/18/2020,0.49,0,0,,,,0.9,0.97,3.38
07/25/2020,0.41,0,0,0,0,,0.6,1.53,2.31
08/01/2020,0.32,0,0,0,0,,,0.83,2.49
08/08/2020,0.35,0,0,0,0,0.58,,0.97,2.49
08/15/2020,0.29,0,0,0,0,,0.5,,2.67
08/22/2020,0.23,0,0,0,,,,,1.42
08/29/2020,0.34,0,0,,,,,1.11,1.78
09/05/2020,0.32,0,0,0,0,,,1.11,2.31
09/12/2020,0.22,0,0,0,,,,,1.42
09/19/2020,0.34,0,0,0,0,0,,1.11,3.21
09/26/2020,0.58,,0,,,,0.6,1.11,4.81
10/03/2020,0.61,,0,,,,,1.67,5.16
10/10/2020,0.47,0,,0,0,,,1.25,3.92
10/17/2020,0.48,,0,0,0,,,1.53,4.1
10/24/2020,0.68,0,0,,0,,1.2,2.23,4.45
10/31/2020,0.65,0,0,,,0.68,,0.83,5.88
11/07/2020,1.07,0,0,,,0.49,1,3.06,8.55
11/14/2020,1.45,0,0,,,0.88,1.6,4.59,10.68
11/21/2020,1.56,0,0,,,0.68,1.7,3.62,13.71
11/28/2020,2.47,0,,,0.53,1.07,2.5,6.26,20.48
12/05/2020,3.37,0,0,0,,1.36,4.81,10.3,25.28
