"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","B.1.1.529 BA.2 count","B.1.1.529 BA.2 percent","B.1.1.529 BA.2.12.1 count","B.1.1.529 BA.2.12.1 percent","B.1.1.529 BA.4 count","B.1.1.529 BA.4 percent","B.1.1.529 BA.5 count","B.1.1.529 BA.5 percent","B.1.1.529 other count","B.1.1.529 other percent","Other count","Other percent","incomplete"
01/02/2021,3,0,33,5,4,1,0,0,2,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,570,92,
01/09/2021,8,1,50,6,9,1,0,0,5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,90,
01/16/2021,3,1,50,12,13,3,0,0,5,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,332,79,
01/23/2021,12,2,56,12,8,2,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,398,83,
01/30/2021,50,6,133,17,24,3,0,0,11,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,549,70,
02/06/2021,77,8,210,21,78,8,0,0,8,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,61,
02/13/2021,38,4,330,31,100,9,0,0,13,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,53,
02/20/2021,143,12,279,24,107,9,0,0,16,1,17,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,603,52,
02/27/2021,182,16,277,25,149,13,0,0,5,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,43,
03/06/2021,185,18,321,31,157,15,0,0,9,1,16,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330,32,
03/13/2021,278,16,386,22,264,15,4,0,4,0,24,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,804,45,
